Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
PCFBP14,,,20210908,9:29,9:36,,Pt Cloates,,83,,,,Fell over after 3 mins,RAW2,,,,,,,,,,
PCFBP14,,,20210908,9:47,9:54,,Pt Cloates,,84,,,,"Repeated. Resynced, edited mark in ipad",RAW2,,,,,,,,,,
PCFBP13,,,20210908,10:02,10:09,,Pt Cloates,,91,,,,Checked 1 cam after. Re-synced,RAW2,,,,,,,,,,
PCFB1,,,20210908,10:24,10:32,,Pt Cloates,,83,,,,Added weight and subsurface float. Andy had wrong point (BRUV),RAW2,,,,,,,,,,
PCFBP14,,,20210908,10:41,10:49,,Pt Cloates,,83,,,,Re-do again. Claude not confident,RAW2,,,,,,,,,,
PCFBP13,,,20210908,10:56,11:05,,Pt Cloates,,92,,,,,RAW2,,,,,,,,,,
PCFB9,,,20210908,11:14,11:21,,Pt Cloates,,83,,,,Filmed 1 then filmed 9. Should be 9.,RAW2,,,,,,,,,,
PCFB21,,,20210908,11:30,11:39,,Pt Cloates,,82,,,,,RAW2,,,,,,,,,,
PCFB1,,,20210908,11:45,11:53,,Pt Cloates,,86,,,,Checked cams afterwards,RAW2,,,,,,,,,,
PCFBP17,,,20210908,12:01,12:09,,Pt Cloates,,99,,,,,RAW2,,,,,,,,,,
PCFBP18,,,20210908,12:15,12:24,,Pt Cloates,,98,,,,Changed float.,RAW2,,,,,,,,,,
PCFB29,,,20210908,12:33,12:42,,Pt Cloates,,82,,,,,RAW2,,,,,,,,,,
PCFB35,,,20210908,12:47,12:55,,Pt Cloates,,88,,,,,RAW2,,,,,,,,,,
PCFBP3,,,20210908,13:03,13:11,,Pt Cloates,,90,,,,,RAW2,,,,,,,,,,
PCFB5,,,20210908,13:16,13:23,,Pt Cloates,,82,,,,Checked cams before + re-synced,RAW2,,,,,,,,,,
PCFB34,,,20210908,13:29,13:36,,Pt Cloates,,86,,,,Checked lights after all ok.,RAW2,,,,,,,,,,
PCFB8,,,20210908,13:43,13:52,,Pt Cloates,,91,,,,,RAW2,,,,,,,,,,
PCFB37,,,20210908,13:58,14:06,,Pt Cloates,,87,,,,,RAW2,,,,,,,,,,
PCFBP2,,,20210908,14:12,14:20,,Pt Cloates,,83,,,,,RAW2,,,,,,,,,,
PCFB13,,,20210908,14:26,14:33,,Pt Cloates,,80,,,,Checked cams before,RAW2,,,,,,,,,,
PCFB27,,,20210908,14:41,14:49,,Pt Cloates,,80,,,,,RAW2,,,,,,,,,,
PCFB45,,,20210908,14:58,15:05,,Pt Cloates,,90,,,,,RAW2,,,,,,,,,,
PCFBP4,,,20210908,15:11,15:19,,Pt Cloates,,89,,,,,RAW2,,,,,,,,,,
PCFB11,,,20210908,15:24,15:31,,Pt Cloates,,87,,,,Checked cams + resynced before,RAW2,,,,,,,,,,
PCFBP5,,,20210908,15:37,15:44,,Pt Cloates,,79,,,,,RAW2,,,,,,,,,,
PCFB44,,,20210908,15:49,15:56,,Pt Cloates,,81,,,,,RAW2,,,,,,,,,,
PCFB26,,,20210908,16:01,16:08,,Pt Cloates,,78,,,,,RAW2,,,,,,,,,,
PCFBP12,,,20210908,16:14,16:21,,Pt Cloates,,88,,,,,RAW2,,,,,,,,,,
PCFB14,,,20210908,16:25,16:32,,Pt Cloates,,89,,,,Checked cams before,RAW2,,,,,,,,,,
PCFB15,,,20210908,16:42,16:49,,Pt Cloates,,87,,,,,RAW2,,,,,,,,,,
PCFB25,,,20210909,10:02,10:08,,Pt Cloates,,80,,,,Flasher BOSS leftover,RAW2,,,,,,,,,,
