Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Left.cam,Right.cam,Rear.cam,Left.mem.card,Right.mem.card,Rear.mem.card,Video.notes,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
PCPREF13,,,20210828,09:30,10:35,,Pt Cloates,,82.3,,No,,27,28,21,122,149,131,,RAW1,,,,,,,,,,
PCPREF18,,,20210828,09:38,10:46,,Pt Cloates,,99.3,,No,,41,42,25,161,152,154,Bait gone,RAW1,,,,,,,,,,
PCBRUV1,,,20210828,09:56,11:12,,Pt Cloates,,81.1,,,,37,38,24,171,160,129,,RAW1,,,,,,,,,,
PCPREF14,,,20210828,09:22,10:24,,Pt Cloates,,81.4,,No,,33,34,19,120,147,136,"Lights off, redeployed",RAW1,,,,,,,,,,
PCBRUV12,,,20210828,09:48,10:59,,Pt Cloates,,84.1,,No,,31,32,20,144,121,124,Recorded as PCBRUV24 but should be 12,RAW1,,,,,,,,,,
PCPREF17,,,20210828,09:35,10:39,,Pt Cloates,,99.1,,No,,39,40,23,138,118,159,,RAW1,,,,,,,,,,
PCBRUV24,,,20210828,09:52,11:08,,Pt Cloates,,81.1,,,,35,36,26,165,116,173,Recorded as PCBRUV12 but should be PCBRUV 24,RAW1,,,,,,,,,,
PCPREF3,,,20210828,09:43,10:49,,Pt Cloates,,83.7,,No,,29,30,22,153,139,156,Filmed 029 but should be 030. bait bag gone,RAW1,,,,,,,,,,
PCBRUV20,,,20210828,11:36,12:37,,Pt Cloates,,82.4,,,,33,34,19,120,147,136,,RAW1,,,,,,,,,,
PCBRUV8,,,20210828,11:39,12:42,,Pt Cloates,,79.8,,,,27,28,21,122,149,131,,RAW1,,,,,,,,,,
PCBRUV23,,,20210828,11:42,12:47,,Pt Cloates,,85.6,,,,39,40,23,138,118,159,,RAW1,,,,,,,,,,
PCPREF2,,,20210828,11:47,12:54,,Pt Cloates,,82.2,,,,41,42,25,161,152,154,cam 41 turned off,RAW1,,,,,,,,,,
PCBRUV10,,,20210828,11:51,13:00,,Pt Cloates,,92.6,,,,29,30,22,153,139,156,,RAW1,,,,,,,,,,
PCBRUV26,,,20210828,11:54,13:07,,Pt Cloates,,89.7,,,,31,32,20,144,121,124,"order got swapped, shown correct opcode on whiteboard after",RAW1,,,,,,,,,,
PCPREF4,,,20210828,11:57,13:12,,Pt Cloates,,88.7,,,,35,36,26,165,116,173,"order got swapped, shown correct opcode on whiteboard after",RAW1,,,,,,,,,,
PCBRUV5,,,20210828,12:03,13:16,,Pt Cloates,,80.3,,,,37,38,24,171,160,129,restarted cam to check SD card,RAW1,,,,,,,,,,
PCPREF5,,,20210828,13:24,14:28,,Pt Cloates,,79.9,,,,33,34,19,120,147,136,"not sure if we synced at start, bait arm chop when pulled up",RAW1,,,,,,,,,,
