Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Left.cam,Right.cam,Rear.cam,Left.mem.card,Right.mem.card,Rear.mem.card,Video.notes,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
YB9,,,20210824,08:08,09:13,,Yardie Creek,,77,,,,27,28,21,115,119,246,,RAW1,,,,,,,,,,
YB7,,,20210824,08:28,09:32,,Yardie Creek,,85,,,,29,30,22,132,133,202,,RAW1,,,,,,,,,,
YBP12,,,20210824,08:33,09:35,,Yardie Creek,,76,,,,31,32,20,142,143,228,Sound trap. Andy missed so retrieved late. Backwards light being weird.,RAW1,,,,,,,,,,
YBP13,,,20210824,08:47,09:48,,Yardie Creek,,74,,,,33,34,19,148,149,225,,RAW1,,,,,,,,,,
YBP3,,,20210824,08:37,09:38,,Yardie Creek,,76,,,,35,36,26,152,153,205,,RAW1,,,,,,,,,,
YB13,,,20210824,08:23,09:25,,Yardie Creek,,86,,,,37,38,24,154,155,247,Backwards light was weird.,RAW1,,,,,,,,,,
YBP11,,,20210824,08:43,09:44,,Yardie Creek,,75,,,,39,40,23,159,161,249,,RAW1,,,,,,,,,,
YB2,,,20210824,08:15,09:19,,Yardie Creek,,79,,,,41,42,25,164,166,203,,RAW1,,,,,,,,,,
YB3,,,20210824,10:05,11:06,,Yardie Creek,,79,,,,27,28,21,115,119,246,,RAW1,,,,,,,,,,
YBP6,,,20210824,10:08,11:11,,Yardie Creek,,76,,,,41,42,25,164,166,203,,RAW1,,,,,,,,,,
YB16,,,20210824,10:11,11:17,,Yardie Creek,,77,,,,37,38,24,154,155,247,,RAW1,,,,,,,,,,
YBP9,,,20210824,10:16,11:22,,Yardie Creek,,78,,,,29,30,22,132,133,202,Bait gone,RAW1,,,,,,,,,,
YBP14,,,20210824,10:19,11:27,,Yardie Creek,,78,,,,35,36,26,152,153,205,,RAW1,,,,,,,,,,
YB14,,,20210824,10:24,11:32,,Yardie Creek,,83,,,,39,40,23,159,161,249,,RAW1,,,,,,,,,,
YBP15,,,20210824,10:30,11:37,,Yardie Creek,,81,,,,33,34,19,148,149,225,,RAW1,,,,,,,,,,
YBP2,,,20210824,10:33,11:42,,Yardie Creek,,75,,,,31,32,20,142,143,228,Sound trap restarted at end of last one.,RAW1,,,,,,,,,,
YBP1,,,20210824,11:49,12:53,,Yardie Creek,,75,,,,27,28,21,115,119,246,,RAW1,,,,,,,,,,
YB12,,,20210824,11:52,12:58,,Yardie Creek,,81,,,,41,42,25,164,166,203,,RAW1,,,,,,,,,,
YBP8,,,20210824,11:55,13:02,,Yardie Creek,,82,,,,37,38,24,154,155,247,Bait empty,RAW1,,,,,,,,,,
YB5,,,20210824,11:59,13:06,,Yardie Creek,,87,,,,29,30,22,132,133,202,,RAW1,,,,,,,,,,
YBP17,,,20210824,12:01,13:12,,Yardie Creek,,92,,,,35,36,26,152,153,205,Bait empty,RAW1,,,,,,,,,,
YB4,,,20210824,12:05,13:16,,Yardie Creek,,94,,,,39,40,23,159,161,249,,RAW1,,,,,,,,,,
YB1,,,20210824,12:09,13:20,,Yardie Creek,,83,,,,33,34,19,148,149,225,,RAW1,,,,,,,,,,
YB15,,,20210824,12:12,13:27,,Yardie Creek,,83,,,,31,32,20,142,143,228,Sound trap restarted,RAW1,,,,,,,,,,
YBP7,,,20210824,13:40,14:45,,Yardie Creek,,99,,,,27,28,21,115,119,246,Tiger. Pretty ground.,RAW1,,,,,,,,,,
YBP16,,,20210824,13:44,14:52,,Yardie Creek,,90,,,,41,42,25,164,166,203,,RAW1,,,,,,,,,,
YB11,,,20210824,13:48,14:58,,Yardie Creek,,90,,,,37,38,24,154,155,247,,RAW1,,,,,,,,,,
YB8,,,20210824,13:52,15:02,,Yardie Creek,,80,,,,29,30,22,132,133,202,,RAW1,,,,,,,,,,
YBC1,,,20210824,14:01,15:13,,Yardie Creek,,97,,,,35,36,26,152,153,205,,RAW1,,,,,,,,,,
YBP5,,,20210824,14:07,15:20,,Yardie Creek,,100,,,,39,40,23,159,161,249,,RAW1,,,,,,,,,,
YBP18,,,20210824,14:12,15:27,,Yardie Creek,,102,,,,33,34,19,148,149,225,,RAW1,,,,,,,,,,
YBP4,,,20210824,14:14,15:29,,Yardie Creek,,100,,,,31,32,20,142,143,228,Sound trap restarted,RAW1,,,,,,,,,,
