X,Y,lon,lat,site,method,pointnum,dropcode,selected,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x2,y2
,,,,,,,PCBP10N,,80,47c29774-6f23-4580-9bf1-6ccf1f28b4de,9/06/2021 23:54,MichaelBrooker_UWA,9/06/2021 23:54,MichaelBrooker_UWA,113.5667283,-22.67432333
,,,,,,,PCBP15N,,81,2b4e553c-1152-4e28-a40e-03676924e369,9/07/2021 0:19,MichaelBrooker_UWA,9/07/2021 0:19,MichaelBrooker_UWA,113.561445,-22.67520667
,,,,,,,PCBP9N,,82,2823a242-d53a-4d7f-9f72-10e8d7d09f1e,9/07/2021 0:36,MichaelBrooker_UWA,9/07/2021 0:36,MichaelBrooker_UWA,113.56553,-22.677395
,,,,,,,PCB30N,,83,e59f35a2-063e-4a3b-8827-bc431819f4ff,9/07/2021 0:41,MichaelBrooker_UWA,9/07/2021 0:41,MichaelBrooker_UWA,113.5573017,-22.68271
,,,,,,,PCBP8N,,84,44265819-76d0-490f-a8be-2117d26ab99a,9/07/2021 0:45,MichaelBrooker_UWA,9/07/2021 0:45,MichaelBrooker_UWA,113.563785,-22.68348333
,,,,,,,PCB9N,,85,211c4187-5ee5-45ae-9e6e-8b7565667fb7,9/07/2021 0:48,MichaelBrooker_UWA,9/07/2021 0:48,MichaelBrooker_UWA,113.5603767,-22.68729333
,,,,,,,PCBP7N,,86,0c49f892-6548-4043-bf51-65d3af8fb0e6,9/07/2021 0:51,MichaelBrooker_UWA,9/07/2021 0:51,MichaelBrooker_UWA,113.5612517,-22.69004333
,,,,,,,PCB28N,,87,216db88d-c815-49c1-8e70-13c36162c081,9/07/2021 2:48,MichaelBrooker_UWA,9/07/2021 2:48,MichaelBrooker_UWA,113.555405,-22.69163667
,,,,,,,PCB4N,,88,fdce9d1f-c06e-4b5b-9b15-ee56b46ee092,9/07/2021 2:51,MichaelBrooker_UWA,9/07/2021 2:51,MichaelBrooker_UWA,113.5571117,-22.69311333
,,,,,,,PCBP11N,,89,e885e049-f3dc-49f7-8e8b-390731ae2f86,9/07/2021 2:54,MichaelBrooker_UWA,9/07/2021 2:54,MichaelBrooker_UWA,113.559705,-22.69586167
,,,,,,,PCBP1N,,90,8bbcbdfd-7622-4bf7-9c2e-b4aac1cc9b64,9/07/2021 2:57,MichaelBrooker_UWA,9/07/2021 2:57,MichaelBrooker_UWA,113.55882,-22.69920667
,,,,,,,PCB21N,,91,0f5e00d9-a518-4e88-a7c7-c2aac1d2880f,9/07/2021 3:00,MichaelBrooker_UWA,9/07/2021 3:00,MichaelBrooker_UWA,113.556295,-22.70210333
,,,,,,,PCB16N,,92,2917a61f-fcab-4869-89f9-1f98db98df0b,9/07/2021 3:04,MichaelBrooker_UWA,9/07/2021 3:04,MichaelBrooker_UWA,113.5585983,-22.70562
,,,,,,,PCBP16N,,93,20207766-b3f9-4558-83b6-ee7a45d38c3f,9/07/2021 3:09,MichaelBrooker_UWA,9/07/2021 3:09,MichaelBrooker_UWA,113.5508383,-22.70543833
,,,,,,,PCB13N,,94,ddab0d55-bead-4742-81e4-1639972e9dc4,9/07/2021 4:47,MichaelBrooker_UWA,9/07/2021 4:47,MichaelBrooker_UWA,113.5532483,-22.709385
,,,,,,,PCB11N,,95,c20e77d4-5e81-45b9-8189-a089ce78658d,9/07/2021 4:50,MichaelBrooker_UWA,9/07/2021 4:50,MichaelBrooker_UWA,113.5494067,-22.71000333
,,,,,,,PCB29N,,96,eda99a6f-9deb-4376-8be7-0b4b300a2087,9/07/2021 4:54,MichaelBrooker_UWA,9/07/2021 4:54,MichaelBrooker_UWA,113.5542983,-22.71330667
,,,,,,,PCB25N,,97,acb43184-b0b4-48b2-b234-6b6e75b08275,9/07/2021 5:02,MichaelBrooker_UWA,9/07/2021 5:02,MichaelBrooker_UWA,113.5485083,-22.71923667
,,,,,,,PCB3N,,98,68c43608-74ea-403f-8f17-a578e51b1020,9/07/2021 5:06,MichaelBrooker_UWA,9/07/2021 5:06,MichaelBrooker_UWA,113.5462817,-22.72269167
,,,,,,,PCB2N,,99,e8b3f865-7b2f-4cae-b212-fb26ecf20bbe,9/07/2021 5:14,MichaelBrooker_UWA,9/07/2021 5:14,MichaelBrooker_UWA,113.5504867,-22.72163333
,,,,,,,PCBP3N,,100,eaafb75c-54c3-4634-8837-57a0ab97c939,9/07/2021 6:45,MichaelBrooker_UWA,9/07/2021 6:45,MichaelBrooker_UWA,113.5386133,-22.75133833
,,,,,,,PCB12N,,101,0a126139-b278-4ecf-8751-3da1bbb20d8b,9/07/2021 6:48,MichaelBrooker_UWA,9/07/2021 6:48,MichaelBrooker_UWA,113.5438633,-22.754755
,,,,,,,PCBP14N,,102,0ce4330a-6b02-4da2-b8ef-fb1dca064fae,9/07/2021 6:55,MichaelBrooker_UWA,9/07/2021 6:55,MichaelBrooker_UWA,113.53936,-22.765325
,,,,,,,PCBP13N,,103,b9c6747d-008a-41a4-b18b-172976461f4f,9/07/2021 7:01,MichaelBrooker_UWA,9/07/2021 7:01,MichaelBrooker_UWA,113.5349333,-22.76327
,,,,,,,PCBP17N,,104,52fed880-f479-4a17-a9a8-aa7f099bdec6,9/07/2021 7:08,MichaelBrooker_UWA,9/07/2021 7:08,MichaelBrooker_UWA,113.5289833,-22.75648833
,,,,,,,PCBP18N,,105,5f8817f0-b785-4a2d-93d0-1048eef77c00,9/07/2021 7:21,MichaelBrooker_UWA,9/07/2021 7:21,MichaelBrooker_UWA,113.530325,-22.75289667
