X,Y,lon,lat,site,method,pointnum,dropcode,selected,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x2,y2
,,,,,,,PCFBP14N,,86,3d7e107f-917a-47a2-ba7c-412dfb803e8e,9/08/2021 1:29,MichaelBrooker_UWA,9/08/2021 2:41,MichaelBrooker_UWA,113.5392117,-22.765955
,,,,,,,PCFBP13N,,89,3c482a18-df5a-4b18-9e61-cbaa239ed9eb,9/08/2021 2:56,MichaelBrooker_UWA,9/08/2021 2:56,MichaelBrooker_UWA,113.53473,-22.76339
,,,,,,,PCFB9N,,90,a1c0d082-4625-46a5-b725-045f64e78f76,9/08/2021 3:14,MichaelBrooker_UWA,9/08/2021 3:14,MichaelBrooker_UWA,113.5435217,-22.760175
,,,,,,,PCFB21N,,91,8bcf94e8-cde9-4b24-a1f4-dca984c66d86,9/08/2021 3:30,MichaelBrooker_UWA,9/08/2021 3:30,MichaelBrooker_UWA,113.5430767,-22.75819333
,,,,,,,PCFB1N CORRECT,,92,d9b866a8-f65f-472d-84e5-f16e330edab8,9/08/2021 3:45,MichaelBrooker_UWA,9/08/2021 3:45,MichaelBrooker_UWA,113.5395483,-22.75956167
,,,,,,,PCFBP17N,,93,3bd938ed-502e-4e38-a1aa-1a2dca946847,9/08/2021 4:01,MichaelBrooker_UWA,9/08/2021 4:01,MichaelBrooker_UWA,113.5293717,-22.75654167
,,,,,,,PCFBP18N,,94,a9ddacc6-b923-4822-89ff-a06f086c2388,9/08/2021 4:15,MichaelBrooker_UWA,9/08/2021 4:15,MichaelBrooker_UWA,113.5301183,-22.753255
,,,,,,,PCFB29N,,95,32e59536-0aad-4023-8c6a-f10accb6f504,9/08/2021 4:34,MichaelBrooker_UWA,9/08/2021 4:34,MichaelBrooker_UWA,113.5424067,-22.754905
,,,,,,,PCFB35N,,96,f5b1f834-cc71-4de1-86d4-e1ab4e273c7a,9/08/2021 4:47,MichaelBrooker_UWA,9/08/2021 4:47,MichaelBrooker_UWA,113.5401867,-22.75367333
,,,,,,,PCFBP3N,,97,9f0fcffb-1e7e-4a47-9be0-d89fe72ab997,9/08/2021 5:03,MichaelBrooker_UWA,9/08/2021 5:03,MichaelBrooker_UWA,113.538565,-22.75113667
,,,,,,,PCFB5N,,98,23b67296-cb30-4240-a892-28e8c2877a77,9/08/2021 5:16,MichaelBrooker_UWA,9/08/2021 5:16,MichaelBrooker_UWA,113.5437383,-22.749155
,,,,,,,PCFB34N,,99,0edec467-0a8e-40b4-b891-40a59d28021c,9/08/2021 5:29,MichaelBrooker_UWA,9/08/2021 5:29,MichaelBrooker_UWA,113.5429783,-22.748905
,,,,,,,PCFB8N,,100,5353956a-9810-470c-901a-48dd68207cf6,9/08/2021 5:43,MichaelBrooker_UWA,9/08/2021 5:43,MichaelBrooker_UWA,113.5399367,-22.74606667
,,,,,,,PCFB37N,,101,5e3d880a-b8e6-4053-856e-097276716960,9/08/2021 5:58,MichaelBrooker_UWA,9/08/2021 5:58,MichaelBrooker_UWA,113.5427117,-22.74357333
,,,,,,,PCFBP2N,,102,1374decc-c0ab-437b-91e9-55935707960d,9/08/2021 6:12,MichaelBrooker_UWA,9/08/2021 6:12,MichaelBrooker_UWA,113.54518,-22.74342167
,,,,,,,PCFB13N,,103,db4fc7cc-e669-47d7-a146-534c683e6aef,9/08/2021 6:26,MichaelBrooker_UWA,9/08/2021 6:26,MichaelBrooker_UWA,113.5483967,-22.743435
,,,,,,,PCFB27N,,104,a6aa12bc-07fe-46cd-8314-7ac59c2759fd,9/08/2021 6:41,MichaelBrooker_UWA,9/08/2021 6:41,MichaelBrooker_UWA,113.5496417,-22.74090833
,,,,,,,PCFB45N,,105,cd78b408-c8ed-4ed1-8239-98c539828858,9/08/2021 6:58,MichaelBrooker_UWA,9/08/2021 6:58,MichaelBrooker_UWA,113.54111,-22.74019
,,,,,,,PCFBP4N,,106,a45dd735-6bf7-496b-a2f6-831704dd890d,9/08/2021 7:11,MichaelBrooker_UWA,9/08/2021 7:11,MichaelBrooker_UWA,113.5415717,-22.73761
,,,,,,,PCFB11N,,107,04f01584-6a16-4a4d-adb5-3b69ce443e35,9/08/2021 7:24,MichaelBrooker_UWA,9/08/2021 7:24,MichaelBrooker_UWA,113.5445333,-22.73581167
,,,,,,,PCFBP5N,,108,96ee762f-ed29-44ab-b9df-8cd9f6a8a1ee,9/08/2021 7:37,MichaelBrooker_UWA,9/08/2021 7:37,MichaelBrooker_UWA,113.550355,-22.73437167
,,,,,,,PCFB44N,,109,5fc459b1-0537-4477-9fe2-511e46a20a6d,9/08/2021 7:49,MichaelBrooker_UWA,9/08/2021 7:49,MichaelBrooker_UWA,113.549255,-22.73384833
,,,,,,,PCFB26N,,110,6619548a-ca9a-4e8f-b670-41388b4c2d81,9/08/2021 8:01,MichaelBrooker_UWA,9/08/2021 8:01,MichaelBrooker_UWA,113.5532983,-22.73149833
,,,,,,,PCFBP12N,,111,00eb14d2-9fa2-49e6-903f-2549334094aa,9/08/2021 8:14,MichaelBrooker_UWA,9/08/2021 8:14,MichaelBrooker_UWA,113.54459,-22.73122833
,,,,,,,PCFB14N,,112,789e0a8d-380e-433b-980b-995766149a2d,9/08/2021 8:25,MichaelBrooker_UWA,9/08/2021 8:25,MichaelBrooker_UWA,113.5441483,-22.73098
,,,,,,,PCFB15N,,113,e1ea31ff-9a11-43f7-bf09-485fd0b0554f,9/08/2021 8:42,MichaelBrooker_UWA,9/08/2021 8:42,MichaelBrooker_UWA,113.5506283,-22.71
,,,,,,,PCFB25N,,114,6b032f4f-cfeb-46d8-bb2d-5a9d60be47a9,9/09/2021 2:02,MichaelBrooker_UWA,9/09/2021 2:02,MichaelBrooker_UWA,113.5595367,-22.69071167
