X,Y,lon,lat,site,method,pointnum,dropcode,selected,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x2,y2
,,,,,,,YB9N,,17,3d79f4d5-69fb-4ce8-a5ec-e02ab5508d8e,8/24/2021 12:08:33 AM,MichaelBrooker_UWA,8/24/2021 12:08:33 AM,MichaelBrooker_UWA,113.72731,-22.34869333
,,,,,,,YB2N,,18,8df10c0f-be68-49d9-b432-17f10e78cd38,8/24/2021 12:15:58 AM,MichaelBrooker_UWA,8/24/2021 12:15:58 AM,MichaelBrooker_UWA,113.7266683,-22.345605
,,,,,,,YB13N,,19,fa714c10-7e96-491c-97a6-ca4d7383fb44,8/24/2021 12:23:43 AM,MichaelBrooker_UWA,8/24/2021 12:23:43 AM,MichaelBrooker_UWA,113.7258267,-22.34309333
,,,,,,,YB7N,,20,67edb380-7187-464b-b60c-f9544e282d88,8/24/2021 12:28:56 AM,MichaelBrooker_UWA,8/24/2021 12:28:56 AM,MichaelBrooker_UWA,113.7291517,-22.33722833
,,,,,,,YBP12N,,21,d7ca64ef-2390-4cc6-a2d9-bb6c753e3e11,8/24/2021 12:33:50 AM,MichaelBrooker_UWA,8/24/2021 12:33:50 AM,MichaelBrooker_UWA,113.7353567,-22.336655
,,,,,,,YBP3N,,22,0f5d0f6d-1b2d-44b9-b2bd-a24ca59c6259,8/24/2021 12:37:46 AM,MichaelBrooker_UWA,8/24/2021 12:37:46 AM,MichaelBrooker_UWA,113.7336867,-22.34002167
,,,,,,,YBP11N,,23,00bd6d89-168c-4d28-83d2-2c217edf7110,8/24/2021 12:43:41 AM,MichaelBrooker_UWA,8/24/2021 12:43:41 AM,MichaelBrooker_UWA,113.7329367,-22.34196667
,,,,,,,YBP13N,,24,d192da14-7375-4bc3-92d6-7fcfb3a8dcaa,8/24/2021 12:47:40 AM,MichaelBrooker_UWA,8/24/2021 12:47:40 AM,MichaelBrooker_UWA,113.73193,-22.345115
,,,,,,,YB3N,,25,cba138a7-a896-4d98-8783-bf230c5847de,8/24/2021 2:05:01 AM,MichaelBrooker_UWA,8/24/2021 2:05:01 AM,MichaelBrooker_UWA,113.7335433,-22.33359
,,,,,,,YBP6N,,26,7c37e2bf-f5c3-4a69-828d-cc9c64d65470,8/24/2021 2:08:47 AM,MichaelBrooker_UWA,8/24/2021 2:08:47 AM,MichaelBrooker_UWA,113.736965,-22.332995
,,,,,,,YB16N,,27,1276b898-f16b-4fdd-893b-d4d77cde78a2,8/24/2021 2:11:43 AM,MichaelBrooker_UWA,8/24/2021 2:11:43 AM,MichaelBrooker_UWA,113.7386933,-22.33074333
,,,,,,,YBP9N,,28,1fbcec4a-41d8-44bf-976f-700def28cebb,8/24/2021 2:16:29 AM,MichaelBrooker_UWA,8/24/2021 2:16:29 AM,MichaelBrooker_UWA,113.7357167,-22.32970833
,,,,,,,YBP14N,,29,8feeea86-8a31-45c8-b2a1-aa3a8399aa3c,8/24/2021 2:19:42 AM,MichaelBrooker_UWA,8/24/2021 2:19:42 AM,MichaelBrooker_UWA,113.73749,-22.32708
,,,,,,,YB14N,,30,8a7b4457-d81e-4c81-a6d6-310820af313a,8/24/2021 2:24:15 AM,MichaelBrooker_UWA,8/24/2021 2:24:15 AM,MichaelBrooker_UWA,113.7380867,-22.32307
,,,,,,,YBP15N,,31,44d0235b-3e84-4430-a00d-c967885d6aff,8/24/2021 2:30:25 AM,MichaelBrooker_UWA,8/24/2021 2:30:25 AM,MichaelBrooker_UWA,113.7407,-22.31908
,,,,,,,YBP2N,,32,31e2baeb-93df-4a11-9620-16b43ba9c8aa,8/24/2021 2:33:14 AM,MichaelBrooker_UWA,8/24/2021 2:33:14 AM,MichaelBrooker_UWA,113.7445017,-22.32116333
,,,,,,,YBP1N,,33,2208405c-58c7-42c0-b725-ca9c38dada9a,8/24/2021 3:49:38 AM,MichaelBrooker_UWA,8/24/2021 3:49:38 AM,MichaelBrooker_UWA,113.74883,-22.314905
,,,,,,,YB12N,,34,c6750538-b1ea-422b-82cf-09fb3c0db891,8/24/2021 3:52:58 AM,MichaelBrooker_UWA,8/24/2021 3:52:58 AM,MichaelBrooker_UWA,113.74781,-22.31178833
,,,,,,,YBP8N,,35,98ce6745-6e68-4deb-b4c0-6e0f9ad6ef5e,8/24/2021 3:55:56 AM,MichaelBrooker_UWA,8/24/2021 3:55:56 AM,MichaelBrooker_UWA,113.748195,-22.30797
,,,,,,,YB5N,,36,70aabedb-9499-4a33-886d-4298957e19fa,8/24/2021 3:59:00 AM,MichaelBrooker_UWA,8/24/2021 3:59:00 AM,MichaelBrooker_UWA,113.7490017,-22.30389
,,,,,,,YBP17N,,37,81ba6046-4817-4372-8830-d72d4b45b928,8/24/2021 4:01:52 AM,MichaelBrooker_UWA,8/24/2021 4:01:52 AM,MichaelBrooker_UWA,113.74723,-22.30144
,,,,,,,YB4N,,38,9cb80dcc-951a-4243-b4a0-6c6ac7db0b99,8/24/2021 4:05:21 AM,MichaelBrooker_UWA,8/24/2021 4:05:21 AM,MichaelBrooker_UWA,113.74832,-22.29817667
,,,,,,,YB1N,,39,c9f56127-b31b-47d2-b49c-a4403f8c9609,8/24/2021 4:09:53 AM,MichaelBrooker_UWA,8/24/2021 4:09:53 AM,MichaelBrooker_UWA,113.7562817,-22.29996667
,,,,,,,YB15N,,40,80c11a44-d6a8-4bb7-84ff-d9691dc3fd57,8/24/2021 4:13:29 AM,MichaelBrooker_UWA,8/24/2021 4:13:29 AM,MichaelBrooker_UWA,113.7559067,-22.30218
,,,,,,,YBP7N,,41,bbf78a7e-d0c9-44f8-be54-c7aecc047ce1,8/24/2021 5:40:22 AM,MichaelBrooker_UWA,8/24/2021 5:40:22 AM,MichaelBrooker_UWA,113.7341,-22.306195
,,,,,,,YBP16N,,42,948c7e04-e64d-4f28-8d60-dbc24396aa82,8/24/2021 5:44:55 AM,MichaelBrooker_UWA,8/24/2021 5:44:55 AM,MichaelBrooker_UWA,113.742955,-22.310055
,,,,,,,YB11N,,43,509416da-9d0c-42a2-a45e-3055d31b1113,8/24/2021 5:48:28 AM,MichaelBrooker_UWA,8/24/2021 5:48:28 AM,MichaelBrooker_UWA,113.740605,-22.31326
,,,,,,,YB8N,,44,b1655467-1fa5-493f-a378-7cf9cd080692,8/24/2021 5:52:12 AM,MichaelBrooker_UWA,8/24/2021 5:52:12 AM,MichaelBrooker_UWA,113.7449433,-22.31689833
,,,,,,,YBC1N,,45,50464e58-9724-48f9-890d-21250b9ea86a,8/24/2021 6:01:05 AM,MichaelBrooker_UWA,8/24/2021 6:01:05 AM,MichaelBrooker_UWA,113.7286433,-22.3267
,,,,,,,YBP5N,,46,d466938b-a870-4248-9458-6129cc6797fb,8/24/2021 6:07:08 AM,MichaelBrooker_UWA,8/24/2021 6:07:08 AM,MichaelBrooker_UWA,113.7211383,-22.33135167
,,,,,,,YBP18N,,47,49800ea6-d0f7-4457-8229-b8d25856c279,8/24/2021 6:12:23 AM,MichaelBrooker_UWA,8/24/2021 6:12:23 AM,MichaelBrooker_UWA,113.7173417,-22.33546667
,,,,,,,YBP4N,,48,5421452c-a3d8-4f0d-8409-ddd7d2e1aceb,8/24/2021 6:15:16 AM,MichaelBrooker_UWA,8/24/2021 6:15:16 AM,MichaelBrooker_UWA,113.7182917,-22.336865
