"","Sample","Date","Time","Time.out","Site","Location","Status","Depth","Observer","Successful.count","Successful.length","Deployment.time","Video.notes","Raw.hdd.number","Con.hdd.number","Habitat.image.saved","Vis.in.metres","Habitat.classification","Maxn.analyst","Maxn.complete.yyyymmdd","Maxn.checker","Length.analyst","Length.complete.date.yyyymmdd","Notes","Longitude","Latitude"
"1","YBBP10",23082021,"08:54","09:05",NA,"Yardie Creek",NA,84,NA,NA,NA,10,"10 min deployments","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7215967,-22.35324167
"2","YBB17",23082021,"09:12","09:23",NA,"",NA,81,NA,NA,NA,10,"","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7243,-22.351665
"3","YBBC1",23082021,"09:56","10:07",NA,"",NA,260,NA,NA,NA,10,"checked cams, tim gone rogue with deeper legacy drops, cliff on sounder","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.6833967,-22.33816167
"4","YBBC2",23082021,"10:23","10:34",NA,"",NA,260,NA,NA,NA,10,"another captains pick","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.6822967,-22.339175
"5","YBB15",23082021,"10:59","11:09",NA,"",NA,87,NA,NA,NA,10,"checked cams before, restarted soundtrap","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7308183,-22.33201833
"6","YBB9",23082021,"11:17","11:28",NA,"",NA,79,NA,NA,NA,10,"re-synced before","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.73258,-22.33562167
"7","YBBP12",23082021,"11:56","12:07",NA,"",NA,75,NA,NA,NA,10,"","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7353867,-22.33651333
"8","YBBP6",23082021,"11:37","11:48",NA,"",NA,75,NA,NA,NA,10,"filmed 12 but should be 6, lots of fish on sounder","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7368567,-22.33283667
"9","YBBP9",23082021,"12:13","12:23",NA,"",NA,78,NA,NA,NA,10,"good ground","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7354717,-22.32984833
"10","YBB10",23082021,"12:29","12:41",NA,"",NA,78,NA,NA,NA,10,"checked cams before, all okay","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.738055,-22.32785167
"11","YBB21",23082021,"12:52","13:04",NA,"",NA,85,NA,NA,NA,10,"filmed 14 but should be 21, 2 lights off","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.73538,-22.32624833
"12","YBBP14",23082021,"13:11","13:22",NA,"",NA,78,NA,NA,NA,10,"whale delayed","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.73813,-22.32710333
"13","YBB24",23082021,"13:28","13:33",NA,"",NA,75,NA,NA,NA,5,"5 mins from here onward","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.74346,-22.32224
"14","YBBP2",23082021,"13:40","13:47",NA,"",NA,73,NA,NA,NA,5,"","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.744915,-22.32098333
"15","YBB16",23082021,"13:53","14:00",NA,"",NA,79,NA,NA,NA,5,"checked cams and re-synced","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","YBBP15",23082021,"14:05","14:10",NA,"",NA,80,NA,NA,NA,5,"3 sharks followed up","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","YBB3",23082021,"14:22","14:27",NA,"",NA,93,NA,NA,NA,5,"bottom light off","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7369383,-22.317855
"18","YBB19",23082021,"14:33","14:39",NA,"",NA,89,NA,NA,NA,5,"","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7393133,-22.31589167
"19","YBBP1",23082021,"14:49","14:54",NA,"",NA,73,NA,NA,NA,5,"lost 2 arms","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.748745,-22.31497667
"20","YBB5",23082021,"15:00","15:05",NA,"",NA,81,NA,NA,NA,5,"checked cams before","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7451817,-22.31406167
"21","YBB2",23082021,"15:24","15:31",NA,"",NA,79,NA,NA,NA,5,"bait filled up from here on","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.749295,-22.31171833
"22","YBB14",23082021,"15:12","15:18",NA,"",NA,85,NA,NA,NA,5,"","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7433867,-22.311895
"23","YBBP16",23082021,"15:37","15:42",NA,"",NA,89,NA,NA,NA,5,"","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7430983,-22.31001
"24","YBB8",23082021,"15:48","15:54",NA,"",NA,82,NA,NA,NA,5,"filmed 6 but should be 8","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.7473417,-22.30859
"25","YBBP8",23082021,"15:58","16:03",NA,"",NA,80,NA,NA,NA,5,"checked and re-synced","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.748395,-22.307885
"26","YBB13",23082021,"16:08","16:14",NA,"",NA,80,NA,NA,NA,5,"","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.751415,-22.30648833
"27","YBB23",23082021,"16:20","16:25",NA,"",NA,81,NA,NA,NA,5,"","RAW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.750625,-22.304935
