"campaignid","sample","family","genus","species"
"2019-08_Ningaloo_stereo-BRUVs","10.03","Labridae","Pseudojuloides","sp1"
"2019-08_Ningaloo_stereo-BRUVs","10.11","Carcharhinidae","Carcharhinus","sp10"
"2019-08_Ningaloo_stereo-BRUVs","10.13","Labridae","Unknown","sp7"
"2019-08_Ningaloo_stereo-BRUVs","11.04","Microdesmidae","Ptereleotris","sp1"
"2019-08_Ningaloo_stereo-BRUVs","11.06","Labridae","Unknown","sp8"
"2019-08_Ningaloo_stereo-BRUVs","12.02","Carcharhinidae","Carcharhinus","sp10"
"2019-08_Ningaloo_stereo-BRUVs","15.01","Microdesmidae","Ptereleotris","sp1"
"2019-08_Ningaloo_stereo-BRUVs","18.04","Pinguipedidae","Parapercis","sp1"
"2019-08_Ningaloo_stereo-BRUVs","18.07","Labridae","Unknown","sp8"
"2019-08_Ningaloo_stereo-BRUVs","19.01","Microdesmidae","Ptereleotris","sp1"
"2019-08_Ningaloo_stereo-BRUVs","3.05","Labridae","Unknown","sp1"
"2019-08_Ningaloo_stereo-BRUVs","3.05","Pinguipedidae","Parapercis","sp10"
"2019-08_Ningaloo_stereo-BRUVs","30.04","Pinguipedidae","Parapercis","sp1"
"2019-08_Ningaloo_stereo-BRUVs","31.02","Pinguipedidae","Parapercis","sp1"
"2019-08_Ningaloo_stereo-BRUVs","31.02","Carcharhinidae","Prionace","glauca"
"2019-08_Ningaloo_stereo-BRUVs","4.01","Priacanthidae","Priacanthus","sp1"
"2019-08_Ningaloo_stereo-BRUVs","4.01","Nemipteridae","Parascolopsis","inermis"
"2019-08_Ningaloo_stereo-BRUVs","4.01","Carcharhinidae","Carcharhinus","sp10"
"2019-08_Ningaloo_stereo-BRUVs","4.02","Pinguipedidae","Parapercis","sp1"
"2019-08_Ningaloo_stereo-BRUVs","4.02","Orectolobidae","Orectolobus","sp1"
"2019-08_Ningaloo_stereo-BRUVs","4.08","Microdesmidae","Ptereleotris","sp1"
"2019-08_Ningaloo_stereo-BRUVs","4.08","Nemipteridae","Parascolopsis","inermis"
"2019-08_Ningaloo_stereo-BRUVs","5.03","Carangidae","Unknown","sp1"
"2019-08_Ningaloo_stereo-BRUVs","6.01","Microdesmidae","Ptereleotris","sp2"
"2019-08_Ningaloo_stereo-BRUVs","7.02","Pinguipedidae","Parapercis","sp10"
"2019-08_Ningaloo_stereo-BRUVs","7.02","Veliferidae","Velifer","hypselopterus"
"2019-08_Ningaloo_stereo-BRUVs","8.02","Labridae","Pseudojuloides","sp1"
"2019-08_Ningaloo_stereo-BRUVs","8.05","Veliferidae","Velifer","hypselopterus"
"2019-08_Ningaloo_stereo-BRUVs","8.07","Veliferidae","Velifer","hypselopterus"
"2019-08_Ningaloo_stereo-BRUVs","8.12","Labridae","Choerodon","sp1"
"2019-08_Ningaloo_stereo-BRUVs","9.01","Labridae","Unknown","sp1"
"2019-08_Ningaloo_stereo-BRUVs","9.02","Nemipteridae","Parascolopsis","inermis"
"2019-08_Ningaloo_stereo-BRUVs","9.06","Microdesmidae","Ptereleotris","sp1"
"2022-05_PtCloates_stereo-BRUVS","1","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","1","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","1","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","11","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","12","Labridae","Choerodon","sp1"
"2022-05_PtCloates_stereo-BRUVS","12","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","12","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","12","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","14","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","14","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","15","Monacanthidae","Unknown","na"
"2022-05_PtCloates_stereo-BRUVS","15","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","15","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","16","Triakidae","Mustelus","stevensi"
"2022-05_PtCloates_stereo-BRUVS","16","Rhynchobatidae","Rhynchobatus","laevis"
"2022-05_PtCloates_stereo-BRUVS","16","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","16","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","17","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","17","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","18","Lutjanidae","Pristipomoides","sp1"
"2022-05_PtCloates_stereo-BRUVS","18","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","20","Lethrinidae","Gymnocranius","sp1"
"2022-05_PtCloates_stereo-BRUVS","20","Labridae","Choerodon","sp1"
"2022-05_PtCloates_stereo-BRUVS","20","Carangidae","Unknown","sp10"
"2022-05_PtCloates_stereo-BRUVS","22","SUS","SUS","sus"
"2022-05_PtCloates_stereo-BRUVS","22","Labridae","Choerodon","sp1"
"2022-05_PtCloates_stereo-BRUVS","23","Lethrinidae","Gymnocranius","sp1"
