"campaignid","filename","sample","direction","broad"
"2021-05_PtCloates_BOSS","13.jpg","13","Forwards",NA
"2021-05_PtCloates_BOSS","24.jpg","24","Forwards",NA
"2021-05_PtCloates_BOSS","25.jpg","25","Forwards",NA
"2021-05_PtCloates_BOSS","27.jpg","27","Forwards",NA
"2021-05_PtCloates_BOSS","28.jpg","28","Forwards",NA
"2021-05_PtCloates_BOSS","31.jpg","31","Forwards",NA
"2021-05_PtCloates_BOSS","31.jpg","31","Forwards",NA
"2021-05_PtCloates_BOSS","36.jpg","36","Forwards",NA
"2021-05_PtCloates_BOSS","4.jpg","4","Forwards",NA
"2021-05_PtCloates_BOSS","4.jpg","4","Forwards",NA
"2021-05_PtCloates_BOSS","45.jpg","45","Forwards",NA
"2022-05_PtCloates_stereo-BRUVS","22.JPG","22","Backwards",NA
"2022-05_PtCloates_stereo-BRUVS","24.JPG","24","Backwards",NA
"2022-05_PtCloates_stereo-BRUVS","31.JPG","31","Backwards",NA
"2022-05_PtCloates_stereo-BRUVS","34.JPG","34","Backwards",NA
"2022-05_PtCloates_stereo-BRUVS","57.JPG","57","Backwards",NA
"2022-05_PtCloates_stereo-BRUVS","59.JPG","59","Backwards",NA
"2022-05_PtCloates_stereo-BRUVS","59.JPG","59","Backwards",NA
"2022-05_PtCloates_stereo-BRUVS","60.JPG","60","Backwards",NA
"2022-05_PtCloates_stereo-BRUVS","14_1_01_Left_MAH00242.MP4_0071408.jpg","14","Forwards",NA
"2022-05_PtCloates_stereo-BRUVS","23_1_01_Left_MAH01224.MP4_0080198.jpg","23","Forwards",NA
"2022-05_PtCloates_stereo-BRUVS","23_1_01_Left_MAH01224.MP4_0080198.jpg","23","Forwards",NA
"2022-05_PtCloates_stereo-BRUVS","23_1_01_Left_MAH01224.MP4_0080198.jpg","23","Forwards",NA
"2022-05_PtCloates_stereo-BRUVS","27_1_01_Left_MAH00230.MP4_0005279.jpg","27","Forwards",NA
"2022-05_PtCloates_stereo-BRUVS","29_1_01_Left_MAH00236.MP4_0074742.jpg","29","Forwards",NA
"2022-05_PtCloates_stereo-BRUVS","30_1_01_Left_MAH00225.MP4_0017778.jpg","30","Forwards",NA
"2022-05_PtCloates_stereo-BRUVS","34_1_01_Left_MAH00248.MP4_0061121.jpg","34","Forwards",NA
"2022-05_PtCloates_stereo-BRUVS","43_1_01_Left_MAH00198.MP4_0035733.jpg","43","Forwards",NA
"2022-05_PtCloates_stereo-BRUVS","57_1_01_Left_MAH00223.MP4_0015861.jpg","57","Forwards",NA
"2022-05_PtCloates_stereo-BRUVS","57_1_01_Left_MAH00223.MP4_0015861.jpg","57","Forwards",NA
"2022-05_PtCloates_stereo-BRUVS","8_1_01_Left_MAH00225.MP4_0045311.jpg","8","Forwards",NA
