X,Y,lon,lat,site,method,pointnum,dropcode,selected,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x2,y2
,,,,,,,YFB13N,,25,38961414-5cc5-46b8-adcf-ac8580f388dd,8/22/2021 2:43:05 AM,MichaelBrooker_UWA,8/22/2021 2:48:25 AM,MichaelBrooker_UWA,113.7573467,-22.29942333
,,,,,,,YFB17N,,26,ca1c05b9-71c8-42d1-858d-b52f7215263a,8/22/2021 3:01:56 AM,MichaelBrooker_UWA,8/22/2021 3:01:56 AM,MichaelBrooker_UWA,113.7474067,-22.300215
,,,,,,,YFBP17N,,27,510676f9-9b2c-4efe-a2c1-a85bb29ba3fc,8/22/2021 3:14:32 AM,MichaelBrooker_UWA,8/22/2021 3:14:32 AM,MichaelBrooker_UWA,113.74707,-22.30116
,,,,,,,YFB11N,,28,238b67a3-03d9-4edd-83cb-03d99e60342b,8/22/2021 3:27:58 AM,MichaelBrooker_UWA,8/22/2021 3:27:58 AM,MichaelBrooker_UWA,113.7493483,-22.30333167
,,,,,,,YFB4N,,29,efc7d01b-17e7-4699-aac8-fe754b8ebc44,8/22/2021 3:40:51 AM,MichaelBrooker_UWA,8/22/2021 3:45:43 AM,MichaelBrooker_UWA,113.7532983,-22.30481
,,,,,,,YFB18N,,30,40ef48e9-03cf-4d81-b88c-d8c268371cd4,8/22/2021 3:53:11 AM,MichaelBrooker_UWA,8/22/2021 3:53:11 AM,MichaelBrooker_UWA,113.7500567,-22.30587333
,,,,,,,YFBP8N,,31,12f43b8e-e39c-4fa7-9699-382cff0952d8,8/22/2021 4:05:15 AM,MichaelBrooker_UWA,8/22/2021 4:05:15 AM,MichaelBrooker_UWA,113.7482817,-22.30778167
,,,,,,,YFB9N,,32,fd49a0e4-618d-46fb-ac7e-a9e08ed952a7,8/22/2021 4:17:36 AM,MichaelBrooker_UWA,8/22/2021 4:17:36 AM,MichaelBrooker_UWA,113.7426983,-22.30934333
,,,,,,,YFBP16,,33,a264637d-54ed-424f-b327-aed3b3561873,8/22/2021 4:28:12 AM,MichaelBrooker_UWA,8/22/2021 4:28:12 AM,MichaelBrooker_UWA,113.7428967,-22.30999333
,,,,,,,YFBP1N,,34,80850611-2858-431f-8f7c-99615019bd13,8/22/2021 4:42:04 AM,MichaelBrooker_UWA,8/22/2021 4:42:04 AM,MichaelBrooker_UWA,113.748515,-22.31503333
,,,,,,,YFB22N,,35,efed6099-5686-4185-a0a4-34e6424a97f8,8/22/2021 4:53:50 AM,MichaelBrooker_UWA,8/22/2021 4:53:50 AM,MichaelBrooker_UWA,113.7444767,-22.31565333
,,,,,,,YFB14N,,36,ac08de21-f3bf-4846-9e61-863729d3fd66,8/22/2021 5:05:35 AM,MichaelBrooker_UWA,8/22/2021 5:05:35 AM,MichaelBrooker_UWA,113.739795,-22.31708333
,,,,,,,YFBC1,,37,3e308898-cf1a-434f-886f-8031f5b1f7fb,8/22/2021 5:18:42 AM,MichaelBrooker_UWA,8/22/2021 5:18:42 AM,MichaelBrooker_UWA,113.7421017,-22.31611
,,,,,,,YFB5N,,38,ca1a81cb-7ad5-4005-a099-4a87d2613f31,8/22/2021 5:29:52 AM,MichaelBrooker_UWA,8/22/2021 5:29:52 AM,MichaelBrooker_UWA,113.7407883,-22.31831833
,,,,,,,YFBP15N,,39,4ac67d6b-719c-4a88-b859-282bf0e577dd,8/22/2021 5:41:01 AM,MichaelBrooker_UWA,8/22/2021 5:41:01 AM,MichaelBrooker_UWA,113.7406117,-22.31930167
,,,,,,,YFB20N,,40,2ca9a1bf-ca6f-4303-95c3-da4c095c12b8,8/22/2021 5:52:41 AM,MichaelBrooker_UWA,8/22/2021 5:52:41 AM,MichaelBrooker_UWA,113.7374683,-22.31961333
,,,,,,,YFB16N,,41,d1cd0ad9-2ac0-487d-8c56-c3eac9a3b6d1,8/22/2021 6:05:06 AM,MichaelBrooker_UWA,8/22/2021 6:05:06 AM,MichaelBrooker_UWA,113.73494,-22.32466667
,,,,,,,YFBP14N,,42,85164708-1f42-4ed2-8ae2-822549b416e0,8/22/2021 6:18:33 AM,MichaelBrooker_UWA,8/22/2021 6:18:33 AM,MichaelBrooker_UWA,113.737415,-22.32709667
,,,,,,,YFB1N,,43,5947a97e-3b52-4cf8-bd84-3f69401336cf,8/22/2021 6:29:52 AM,MichaelBrooker_UWA,8/22/2021 6:29:52 AM,MichaelBrooker_UWA,113.739535,-22.32620667
,,,,,,,YFB19N,,44,fc199776-400a-443a-88b9-4467682e9ea0,8/22/2021 6:49:32 AM,MichaelBrooker_UWA,8/22/2021 6:49:32 AM,MichaelBrooker_UWA,113.732235,-22.32826167
,,,,,,,YFBP9N,,45,dcf21a59-df42-4243-8639-78208a87b374,8/22/2021 7:01:17 AM,MichaelBrooker_UWA,8/22/2021 7:01:17 AM,MichaelBrooker_UWA,113.7353483,-22.32996833
,,,,,,,YFBP6N,,46,dc06a0a4-bab8-4a05-8c03-a4fdc1059a0f,8/22/2021 7:12:13 AM,MichaelBrooker_UWA,8/22/2021 7:12:13 AM,MichaelBrooker_UWA,113.7368767,-22.33289
,,,,,,,YFB2N,,47,40fa1cb4-cd7d-4f01-af9a-0baf26ec18a2,8/22/2021 7:22:24 AM,MichaelBrooker_UWA,8/22/2021 7:22:24 AM,MichaelBrooker_UWA,113.7354967,-22.33373333
,,,,,,,YFBP12,,48,981c6bc8-d723-4d70-929b-082bd3efe66d,8/22/2021 7:33:33 AM,MichaelBrooker_UWA,8/22/2021 7:33:33 AM,MichaelBrooker_UWA,113.7351883,-22.33659
,,,,,,,YFB7N,,49,68297ffc-a309-47f0-adef-af0cd6a9aee2,8/22/2021 7:45:19 AM,MichaelBrooker_UWA,8/22/2021 7:45:19 AM,MichaelBrooker_UWA,113.7328333,-22.33727167
,,,,,,,YFB6N,,50,2e7506d1-a14f-41af-a384-00e9d9337bbc,8/22/2021 7:58:03 AM,MichaelBrooker_UWA,8/22/2021 7:58:03 AM,MichaelBrooker_UWA,113.7259483,-22.33861833
,,,,,,,YFB3N,,51,a46a7480-3ad2-4a09-bdb4-6ef575d5b0fd,8/22/2021 8:09:45 AM,MichaelBrooker_UWA,8/22/2021 8:09:45 AM,MichaelBrooker_UWA,113.7285817,-22.34273
,,,,,,,YFB15N,,52,91cf8097-12cd-4581-bed4-7c00cb4dc1ab,8/22/2021 8:23:16 AM,MichaelBrooker_UWA,8/22/2021 8:23:16 AM,MichaelBrooker_UWA,113.727365,-22.344695
,,,,,,,YFB23N,,53,cd65ec32-0e85-45c1-a71a-384c047f120f,8/22/2021 8:34:54 AM,MichaelBrooker_UWA,8/22/2021 8:34:54 AM,MichaelBrooker_UWA,113.7271017,-22.34750333
,,,,,,,YFBP13,,54,900e97ff-30f7-4476-bab4-6476fb7f9477,8/22/2021 8:53:11 AM,MichaelBrooker_UWA,8/22/2021 8:53:11 AM,MichaelBrooker_UWA,113.7319117,-22.34508167
,,,,,,,YFBP3N,,55,64f04ac9-fee9-478f-97c3-50dffe333ea7,8/22/2021 9:06:25 AM,MichaelBrooker_UWA,8/22/2021 9:06:25 AM,MichaelBrooker_UWA,113.7334133,-22.33966167
,,,,,,,YFBP10,,56,818315a3-8347-49a1-9f85-58e666a763b7,8/25/2021 12:19:37 AM,MichaelBrooker_UWA,8/25/2021 12:19:37 AM,MichaelBrooker_UWA,113.7222617,-22.353415
,,,,,,,YFB8N,,57,ea58f529-b735-4aef-9976-d0e590954fa4,8/25/2021 12:31:11 AM,MichaelBrooker_UWA,8/25/2021 12:31:11 AM,MichaelBrooker_UWA,113.7206767,-22.34924
,,,,,,,YFBP11N,,58,fd4f015e-08a5-42ba-8e42-d16bf7e19191,8/25/2021 12:44:51 AM,MichaelBrooker_UWA,8/25/2021 12:44:51 AM,MichaelBrooker_UWA,113.7326583,-22.342255
,,,,,,,YFBP4N,,59,a4ca5c10-8855-40f3-9c6b-8f20b19868c2,8/25/2021 1:13:09 AM,MichaelBrooker_UWA,8/25/2021 1:13:09 AM,MichaelBrooker_UWA,113.7182367,-22.33700167
,,,,,,,YFBP18N,,60,9cd3ed85-bc4c-44bb-9e5e-f79a2d719ad8,8/25/2021 1:22:31 AM,MichaelBrooker_UWA,8/25/2021 1:22:31 AM,MichaelBrooker_UWA,113.7169333,-22.33545333
,,,,,,,YFBP5N,,61,4ec5b072-8917-4f8f-8724-af10d55ce916,8/25/2021 1:34:35 AM,MichaelBrooker_UWA,8/25/2021 1:34:35 AM,MichaelBrooker_UWA,113.720915,-22.331495
,,,,,,,YFB10N,,62,536f1e6f-6003-41b4-af28-b3c50d2f3dc1,8/25/2021 6:02:37 AM,MichaelBrooker_UWA,8/25/2021 6:02:37 AM,MichaelBrooker_UWA,113.741145,-22.32089
,,,,,,,YFBP2N,,63,e4acb1e0-bc99-4dcd-8ecc-f608a3800264,8/25/2021 6:18:54 AM,MichaelBrooker_UWA,8/25/2021 6:18:54 AM,MichaelBrooker_UWA,113.74465,-22.32180667
