Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Deployment.time,Video.notes,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
YBBP10,-22.3532,113.7216,20210823,08:54,09:05,,Yardie Creek,,84,,,,10,10 min deployments,RAW1,TOP ONLY,,,,,,,,,
YBB17,-22.3517,113.7243,20210823,09:12,09:23,,,,81,,,,10,,RAW1,TOP ONLY,,,,,,,,,
YBBC1,-22.3382,113.6834,20210823,09:56,10:07,,,,260,,,,10,"checked cams, tim gone rogue with deeper legacy drops, cliff on sounder",RAW1,TOP ONLY,,,,,,,,,
YBBC2,-22.3392,113.6823,20210823,10:23,10:34,,,,260,,,,10,another captains pick,RAW1,TOP ONLY,,,,,,,,,
YBB15,-22.332,113.7308,20210823,10:59,11:09,,,,87,,,,10,"checked cams before, restarted soundtrap",RAW1,TOP ONLY,,,,,,,,,
YBB9,-22.3356,113.7326,20210823,11:17,11:28,,,,79,,,,10,re-synced before,RAW1,TOP ONLY,,,,,,,,,
YBBP12,-22.3365,113.7354,20210823,11:56,12:07,,,,75,,,,10,,RAW1,TOP ONLY,,,,,,,,,
YBBP6,-22.3328,113.7369,20210823,11:37,11:48,,,,75,,,,10,"filmed 12 but should be 6, lots of fish on sounder",RAW1,TOP ONLY,,,,,,,,,
YBBP9,-22.3298,113.7355,20210823,12:13,12:23,,,,78,,,,10,good ground,RAW1,TOP ONLY,,,,,,,,,
YBB10,-22.3279,113.7381,20210823,12:29,12:41,,,,78,,,,10,"checked cams before, all okay",RAW1,TOP ONLY,,,,,,,,,
YBB21,-22.3262,113.7354,20210823,12:52,13:04,,,,85,,,,10,"filmed 14 but should be 21, 2 lights off",RAW1,TOP ONLY,,,,,,,,,
YBBP14,-22.3271,113.7381,20210823,13:11,13:22,,,,78,,,,10,whale delayed,RAW1,TOP ONLY,,,,,,,,,
YBB24,-22.3222,113.7435,20210823,13:28,13:33,,,,75,,,,5,5 mins from here onward,RAW1,TOP ONLY,,,,,,,,,
YBBP2,-22.321,113.7449,20210823,13:40,13:47,,,,73,,,,5,,RAW1,TOP ONLY,,,,,,,,,
YBB16,-22.3198,113.742,20210823,13:53,14:00,,,,79,,,,5,checked cams and re-synced. couldnt find point used mbh mark - check,RAW1,TOP ONLY,,,,,,,,,
YBBP15,-22.3191,113.7405,20210823,14:05,14:10,,,,80,,,,5,3 sharks followed up. couldnt find point used mbh mark - check,RAW1,TOP ONLY,,,,,,,,,
YBB3,-22.3179,113.7369,20210823,14:22,14:27,,,,93,,,,5,bottom light off,RAW1,TOP ONLY,,,,,,,,,
YBB19,-22.3159,113.7393,20210823,14:33,14:39,,,,89,,,,5,,RAW1,TOP ONLY,,,,,,,,,
YBBP1,-22.315,113.7487,20210823,14:49,14:54,,,,73,,,,5,lost 2 arms,RAW1,TOP ONLY,,,,,,,,,
YBB5,-22.3141,113.7452,20210823,15:00,15:05,,,,81,,,,5,checked cams before,RAW1,TOP ONLY,,,,,,,,,
YBB2,-22.3117,113.7493,20210823,15:24,15:31,,,,79,,,,5,bait filled up from here on,RAW1,TOP ONLY,,,,,,,,,
YBB14,-22.3119,113.7434,20210823,15:12,15:18,,,,85,,,,5,,RAW1,TOP ONLY,,,,,,,,,
YBBP16,-22.31,113.7431,20210823,15:37,15:42,,,,89,,,,5,,RAW1,TOP ONLY,,,,,,,,,
YBB8,-22.3086,113.7473,20210823,15:48,15:54,,,,82,,,,5,filmed 6 but should be 8,RAW1,TOP ONLY,,,,,,,,,
YBBP8,-22.3079,113.7484,20210823,15:58,16:03,,,,80,,,,5,checked and re-synced,RAW1,TOP ONLY,,,,,,,,,
YBB13,-22.3065,113.7514,20210823,16:08,16:14,,,,80,,,,5,,RAW1,TOP ONLY,,,,,,,,,
YBB23,-22.3049,113.7506,20210823,16:20,16:25,,,,81,,,,5,,RAW1,TOP ONLY,,,,,,,,,
YBB20,-22.3044,113.7465,20210823,16:32,16:37,,,,89,,,,5,,RAW1,TOP ONLY,,,,,,,,,
YBBP17,-22.3012,113.7472,20210823,16:43,16:48,,,,91,,,,5,,RAW1,TOP ONLY,,,,,,,,,
YBB22,-22.2972,113.7531,20210823,16:57,17:02,,,,85,,,,5,,RAW1,TOP ONLY,,,,,,,,,
YBB11,-22.2989,113.7554,20210823,17:07,17:12,,,,84,,,,5,,RAW1,TOP ONLY,,,,,,,,,
YBB18,-22.3363,113.7257,20210825,09:47,09:52,,,,94,,,,5,"took 3 out to check battery, resynced and checked cams",RAW1,CON1,,,,,,,,,
YBB1,-22.3392,113.7338,20210825,09:59,10:05,,,,75,,,,5,,RAW1,CON1,,,,,,,,,
YBBP3,-22.3402,113.7337,20210825,10:10,10:16,,,,76,,,,5,,RAW1,CON1,,,,,,,,,
