Sample,Longitude,Latitude,Date,Time,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Type,Video.notes,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
189,113.6805,-22.3417,20210521,08:16:30,,Ningaloo,Fished,277,,,,Legacy,Legacy. Whiteboard will say 180. Water Sample,,,,,,,,,,,
190,113.683,-22.3389,20210521,08:33:32,,Ningaloo,Fished,244,,,,Legacy,Legacy. Whiteboard will say 180. Water Sample,,,,,,,,,,,
191,113.684,-22.3373,20210521,08:47:45,,Ningaloo,Fished,246,,,,Legacy,Legacy. Forgot to show whiteboard before.,,,,,,,,,,,
192,113.6798,-22.3333,20210521,09:05:26,,Ningaloo,Fished,287,,,,Legacy,"Legacy. Water smaple. Checked cameras, all good.",,,,,,,,,,,
130,113.6868,-22.3084,20210521,09:31:30,,Ningaloo,Fished,413,,,,MBH,Checked cameras again.,,,,,,,,,,,
76,113.6915,-22.3034,20210521,09:52:54,,Ningaloo,Fished,328,,,,MBH,Water sample.,,,,,,,,,,,
47,113.6942,-22.2987,20210521,10:11:40,,Ningaloo,Fished,291,,,,MBH,,,,,,,,,,,,
57,113.7115,-22.3137,20210521,10:31:07,,Ningaloo,Fished,181,,,,MBH,,,,,,,,,,,,
29,113.7139,-22.3062,20210521,10:45:01,,Ningaloo,Fished,189,,,,MBH,Lat and Lon not recorded in field used MBH design instead,,,,,,,,,,,
151,113.7144,-22.3036,20210521,10:57:59,,Ningaloo,Fished,193,,,,MBH,Water sample. 4 minute arm is perfect.,,,,,,,,,,,
54,113.7165,-22.3011,20210521,11:19:26,,Ningaloo,Fished,189,,,,MBH,Sam fixing things before.,,,,,,,,,,,
150,113.7191,-22.291,20210521,11:35:29,,Ningaloo,Fished,199,,,,MBH,,,,,,,,,,,,
6,113.7265,-22.2786,20210521,11:53:12,,Ningaloo,Fished,191,,,,MBH,,,,,,,,,,,,
92,113.6964,-22.2737,20210521,12:16:25,,Ningaloo,Fished,295,,,,MBH,Water sample.,,,,,,,,,,,
109,113.7139,-22.2612,20210521,12:39:38,,Ningaloo,Fished,268,,,,MBH,Lat and Lon not recorded in field used MBH design instead,,,,,,,,,,,
89,113.7089,-22.2561,20210521,12:56:57,,Ningaloo,Fished,298,,,,MBH,Water sample. Cameras checked.,,,,,,,,,,,
183,113.7366,-22.2363,20210521,13:20:03,,Ningaloo,Fished,219,,,,MBH,,,,,,,,,,,,
44,113.7168,-22.2264,20210521,13:39:31,,Ningaloo,Fished,281,,,,MBH,,,,,,,,,,,,
