Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Left.cam,Right.cam,Rear.cam,Left.mem.card,Right.mem.card,Rear.mem.card,Video.notes,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,FishNclips,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
YB9,-22.3487,113.7273,20210824,08:08,09:13,,Yardie Creek,,77,Rob,Yes,,27,28,21,115,119,246,,RAW1,,Yes,Yes,,,Rob,20211207,Brooke & Claude - a few left to check with Todd,,,
YB7,-22.3372,113.7292,20210824,08:28,09:32,,Yardie Creek,,85,Rob,Yes,,29,30,22,132,133,202,,RAW1,,,,,,Rob,20211213,"Claude - Stegostoma has old name, not 100% on trevs",,,
YBP12,-22.3367,113.7354,20210824,08:33,09:35,,Yardie Creek,,76,,,,31,32,20,142,143,228,Sound trap. Andy missed so retrieved late. Backwards light being weird.,RAW1,,,,,,,,,,,
YBP13,-22.3451,113.7319,20210824,08:47,09:48,,Yardie Creek,,74,,,,33,34,19,148,149,225,,RAW1,,,,,,,,,,,
YBP3,-22.34,113.7337,20210824,08:37,09:38,,Yardie Creek,,76,,,,35,36,26,152,153,205,,RAW1,,,,,,,,,,,
YB13,-22.3431,113.7258,20210824,08:23,09:25,,Yardie Creek,,86,,,,37,38,24,154,155,247,Backwards light was weird.,RAW1,,,,,,,,,,,
YBP11,-22.342,113.7329,20210824,08:43,09:44,,Yardie Creek,,75,,,,39,40,23,159,161,249,,RAW1,,,,,,,,,,,
YB2,-22.3456,113.7267,20210824,08:15,09:19,,Yardie Creek,,79,,,,41,42,25,164,166,203,,RAW1,,,,,,,,,,,
YB3,-22.3336,113.7335,20210824,10:05,11:06,,Yardie Creek,,79,Rob,Yes,,27,28,21,115,119,246,,RAW1,,,,,,Rob,20211208,Claude,,,
YBP6,-22.333,113.737,20210824,10:08,11:11,,Yardie Creek,,76,,,,41,42,25,164,166,203,,RAW1,,,,,,,,,,,
YB16,-22.3307,113.7387,20210824,10:11,11:17,,Yardie Creek,,77,,,,37,38,24,154,155,247,,RAW1,,,,,,,,,,,
YBP9,-22.3297,113.7357,20210824,10:16,11:22,,Yardie Creek,,78,Rob,Yes,,29,30,22,132,133,202,Bait gone,RAW1,,,,,,Rob,20211215,Claude - 1 unknown wrasse was down as Cheilio inermis but changed to labridae spp. 1 unknown,,,
YBP14,-22.3271,113.7375,20210824,10:19,11:27,,Yardie Creek,,78,,,,35,36,26,152,153,205,,RAW1,,,,,,,,,,,
YB14,-22.3231,113.7381,20210824,10:24,11:32,,Yardie Creek,,83,,,,39,40,23,159,161,249,,RAW1,,,,,,,,,,,
YBP15,-22.3191,113.7407,20210824,10:30,11:37,,Yardie Creek,,81,,,,33,34,19,148,149,225,,RAW1,,,,,,,,,,,
YBP2,-22.3212,113.7445,20210824,10:33,11:42,,Yardie Creek,,75,,,,31,32,20,142,143,228,Sound trap restarted at end of last one.,RAW1,,,,,,,,,,,
YBP1,-22.3149,113.7488,20210824,11:49,12:53,,Yardie Creek,,75,Rob,Yes,,27,28,21,115,119,246,,RAW1,,,,,,Rob,20211209,Claude,,,
YB12,-22.3118,113.7478,20210824,11:52,12:58,,Yardie Creek,,81,,,,41,42,25,164,166,203,,RAW1,,,,,,,,,,,
YBP8,-22.308,113.7482,20210824,11:55,13:02,,Yardie Creek,,82,,,,37,38,24,154,155,247,Bait empty,RAW1,,,,,,,,,,,
YB5,-22.3039,113.749,20210824,11:59,13:06,,Yardie Creek,,87,Rob,Yes,,29,30,22,132,133,202,,RAW1,,,,,,,,,,,
YBP17,-22.3014,113.7472,20210824,12:01,13:12,,Yardie Creek,,92,,,,35,36,26,152,153,205,Bait empty,RAW1,,,,,,,,,,,
YB4,-22.2982,113.7483,20210824,12:05,13:16,,Yardie Creek,,94,,,,39,40,23,159,161,249,,RAW1,,,,,,,,,,,
YB1,-22.3,113.7563,20210824,12:09,13:20,,Yardie Creek,,83,,,,33,34,19,148,149,225,,RAW1,,,,,,,,,,,
YB15,-22.3022,113.7559,20210824,12:12,13:27,,Yardie Creek,,83,,,,31,32,20,142,143,228,Sound trap restarted,RAW1,,,,,,,,,,,
YBP7,-22.3062,113.7341,20210824,13:40,14:45,,Yardie Creek,,99,Rob,Yes,,27,28,21,115,119,246,Tiger. Pretty ground. filmed wrong number at the start,RAW1,,,,,,Rob,20211210,Claude,,,
YBP16,-22.3101,113.743,20210824,13:44,14:52,,Yardie Creek,,90,,,,41,42,25,164,166,203,,RAW1,,,,,,,,,,,
YB11,-22.3133,113.7406,20210824,13:48,14:58,,Yardie Creek,,90,,,,37,38,24,154,155,247,,RAW1,,,,,,,,,,,
YB8,-22.3169,113.7449,20210824,13:52,15:02,,Yardie Creek,,80,,,,29,30,22,132,133,202,,RAW1,,,,,,,,,,,
YBC1,-22.3267,113.7286,20210824,14:01,15:13,,Yardie Creek,,97,,,,35,36,26,152,153,205,,RAW1,,,,,,,,,,,
YBP5,-22.3314,113.7211,20210824,14:07,15:20,,Yardie Creek,,100,,,,39,40,23,159,161,249,,RAW1,,,,,,,,,,,
YBP18,-22.3355,113.7173,20210824,14:12,15:27,,Yardie Creek,,102,,,,33,34,19,148,149,225,,RAW1,,,,,,,,,,,
YBP4,-22.3369,113.7183,20210824,14:14,15:29,,Yardie Creek,,100,,,,31,32,20,142,143,228,Sound trap restarted,RAW1,,,,,,,,,,,
