Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
122,-22.75,113.5452,20220519,13:35:27,,Pt Cloates,No-take,83,Claude,Yes,,Red lights all checked (cameras on). White lights synced before drop. eDNA,RAW1,,,,,,Claude,20220816,,,,lots of fish close to cam after period
150,-22.7488,113.5427,20220519,13:51:10,,Pt Cloates,No-take,85.8,Claude,Yes,,,RAW1,,,,,,Claude,20220816,,,,
B59,-22.7439,113.5456,20220519,14:05:46,,Pt Cloates,No-take,84,Claude,Yes,,eDNA,RAW1,,,,,,Claude,20220816,,,,
147,-22.7423,113.5417,20220519,14:19:51,,Pt Cloates,No-take,88.9,Claude,Yes,,,RAW1,,,,,,Claude,20220818,,,,
118,-22.7388,113.5435,20220519,14:32:04,,Pt Cloates,No-take,88.2,Claude,Yes,,eDNA,RAW1,,,,,,Claude,20220818,,,,
136,-22.7379,113.5426,20220519,14:44:38,,Pt Cloates,No-take,89.9,Claude,Yes,,Mahi mahi?,RAW1,,,,,,Claude,20220818,,,,
B62,-22.7377,113.5417,20220519,14:55:57,,Pt Cloates,No-take,89.3,Claude,Yes,,eDNA,RAW1,,,,,,Claude,20220818,,,,some miniatus way out the back - they come in after period ends
B64,-22.7345,113.5505,20220519,15:09:26,,Pt Cloates,No-take,80.1,Claude,Yes,,Red lights checked after drop.,RAW1,,,,,,Claude,20220818,,,,
112,-22.7339,113.5532,20220519,15:20:29,,Pt Cloates,No-take,76.9,Claude,Yes,,eDNA,RAW1,,,,,,Claude,20220822,,,,"1 unknown wrasse, probably caudimacula"
141,-22.7323,113.544,20220519,15:33:37,,Pt Cloates,No-take,88.4,Claude,Yes,,,RAW1,,,,,,Claude,20220822,,,,some floaters out the back
B49,-22.7309,113.5442,20220519,15:46:25,,Pt Cloates,No-take,88.3,Claude,Yes,,eDNA,RAW1,,,,,,Claude,20220822,,,,rubrio after period. hydrocoral?
146,-22.7285,113.5486,20220519,16:03:36,,Pt Cloates,No-take,82.4,Claude,Yes,,,RAW1,,,,,,Claude,20220822,,,,no fish
119,-22.727,113.5473,20220519,16:13:53,,Pt Cloates,No-take,86.6,Claude,Yes,,eDNA. Camera #16 off at end of day. Lights synced.,RAW1,,,,,,Claude,20220822,,,,no fish
B54,-22.7657,113.5389,20220521,08:24:48,,Pt Cloates,No-take,81.2,,No,,LOST BOSS. eDNA. Retrieved BOSS (1.45 hrs later),RAW1,,,,,,,,,,,
B54.2,-22.7654,113.5391,20220521,11:38:15,,Pt Cloates,No-take,84,Claude,Yes,,White falshy lights synced prior to drop. Red camera lights checked. GTG.,RAW1,,,,,,Claude,20220822,,,,fulvos maybe too far away - coros almost definitely are
B52,-22.7635,113.5348,20220521,11:55:53,,Pt Cloates,No-take,91,Claude,Yes,,,RAW1,,,,,,Claude,20220822,,,,sailfish on the drop down
132,-22.7618,113.5447,20220521,12:12:20,,Pt Cloates,No-take,78.1,Claude,Yes,,eDNA,RAW1,,,,,,Claude,20220822,,,,tips over at 1:15. red after period
105,-22.7605,113.5445,20220521,12:28:24,,Pt Cloates,No-take,80.8,Claude,Yes,,,RAW1,,,,,,Claude,20220822,,,,stalked crinoid
153,-22.7589,113.5459,20220521,13:14:55,,Pt Cloates,No-take,78.2,Claude,Yes,,Red lights checked. White flashy lights synced. GTG. eDNA,RAW1,,,,,,Claude,20220822,,,,
B55,-22.7563,113.5294,20220521,13:30:08,,Pt Cloates,No-take,98.5,Claude,Yes,,,RAW1,,,,,,Claude,20220822,,,,gymnos definitely grandoculis
B56,-22.7533,113.5305,20220521,13:43:22,,Pt Cloates,No-take,98.6,Claude,Yes,,eDNA,RAW1,,,,,,Claude,20220822,,,,
B60,-22.751,113.539,20220523,11:38:17,,Pt Cloates,No-take,89.8,Claude,Yes,,Checked all red lights,RAW1,,,,,,Claude,20220823,,,,1 weird looking wrasse thing. gymno probably oor
125,-22.7521,113.5422,20220523,11:51:02,,Pt Cloates,No-take,84.7,Claude,Yes,,eDNA,RAW1,,,,,,Claude,20220823,,,,
129,-22.754,113.5469,20220523,12:08:18,,Pt Cloates,No-take,80.4,Claude,Yes,,,RAW1,,,,,,Claude,20220823,,,,
144,-22.7524,113.5496,20220523,12:21:44,,Pt Cloates,No-take,76.7,Claude,Yes,,,RAW1,,,,,,Claude,20220823,,,,not 100% on trevs
131,-22.7446,113.5561,20220523,12:55:53,,Pt Cloates,No-take,71,Claude,Yes,,Before drop checked red lights and synced white flash lights. GTG. eDNA,RAW1,,,,,,Claude,20220823,,,,super murky
154,-22.7377,113.5528,20220523,13:14:54,,Pt Cloates,No-take,75,Claude,Yes,,,RAW1,,,,,,Claude,20220823,,,,no fish
126,-22.7305,113.5582,20220523,13:27:49,,Pt Cloates,No-take,72.9,Claude,Yes,,,RAW1,,,,,,Claude,20220823,,,,murky no fish
152,-22.7255,113.5554,20220523,13:41:00,,Pt Cloates,No-take,77.1,Claude,Yes,,eDNA,RAW1,,,,,,Claude,20220823,,,,no fish
104,-22.7191,113.5566,20220523,13:55:01,,Pt Cloates,No-take,77.7,Claude,Yes,,,RAW1,,,,,,Claude,20220823,,,,no fish
148,-22.715,113.5573,20220523,14:09:08,,Pt Cloates,No-take,78,Claude,Yes,,,RAW1,,,,,,Claude,20220823,,,,
121,-22.7164,113.5548,20220523,14:21:19,,Pt Cloates,No-take,77.8,Claude,Yes,,,RAW1,,,,,,Claude,20220823,,,,murky
B50,-22.7172,113.5528,20220523,14:34:17,,Pt Cloates,No-take,80.2,Claude,Yes,,eDNA,RAW1,,,,,,Claude,20220823,,,,red sitting 15m off the bottom??
128,-22.7219,113.5498,20220523,14:48:16,,Pt Cloates,No-take,84.6,Claude,Yes,,Red lights checked GTG,RAW1,,,,,,Claude,20220823,,,,
133,-22.7256,113.5479,20220523,15:00:34,,Pt Cloates,No-take,87.5,Claude,Yes,,Synced white lights. GTG. eDNA,RAW1,,,,,,Claude,20220823,,,,
110,-22.7234,113.5447,20220523,15:14:15,,Pt Cloates,No-take,93.3,Claude,Yes,,,RAW1,,,,,,Claude,20220825,,,,
102,-22.7161,113.5489,20220523,15:27:09,,Pt Cloates,No-take,87.7,Claude,Yes,,,RAW1,,,,,,Claude,20220825,,,,no fish
143,-22.7112,113.5528,20220524,08:35:40,,Pt Cloates,No-take,83.7,,No,,eDNA,RAW1,,,,,,,,,,,
115,-22.7098,113.55,20220524,08:52:11,,Pt Cloates,No-take,88.1,,No,,Strong currents. Called off sampling.,RAW1,,,,,,,,,,,
139,-22.7092,113.549,20220525,08:16:36,,Pt Cloates,No-take,92.2,Claude,Yes,,Cam 13 was turned off at start so used flasher to sync prior to drop. Whiteboard shown after drop. eDNA,RAW1,,,,,,Claude,20220825,,,,"shark absolutely peaking, 1 unknown pristipomoides?"
