"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2019-08_Ningaloo_stereo-BRUVs","1.01","1.01_L373.avi","34.08200","Balistidae","Abalistes","stellatus",1,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.01","1.01_L373.avi","15.04267","Carangidae","Carangoides","chrysophrys",1,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.01","1.01_L373.avi","24.48267","Carangidae","Decapterus","spp",2,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.01","1.01_L373.avi","30.54067","Carangidae","Gnathanodon","speciosus",2,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.01","1.01_L373.avi","26.23200","Carcharhinidae",NA,"sp10",1,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.01","1.01_L373.avi","0.01800","Labridae","Coris","caudimacula",1,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.01","1.01_L373.avi","11.81667","Nemipteridae","Pentapodus","nagasakiensis",9,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.01","1.01_L373.avi","4.13400","Pinguipedidae","Parapercis","nebulosa",2,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.01","1.01_L373.avi","23.63667","Sparidae","Argyrops","spinifer",1,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.01","1.01_L373.avi","54.28267","Synodontidae","Saurida","undosquamis",2,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.01","1.01_L373.avi","51.79667","Tetraodontidae","Lagocephalus","sceleratus",2,"-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.02","1.02_L369.avi","31.56667","Carangidae","Carangoides","chrysophrys",2,"-22.85016136","113.5252875","12082019","09:35:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
