"campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2019-08_Ningaloo_stereo-BRUVs","1.01","-22.84786205","113.5404917","12082019","09:23:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.02","-22.85016136","113.5252875","12082019","09:35:00","Ningaloo Marine Park",NA,"1","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.03","-22.84437","113.51304","12082019","09:43:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.04","-22.8402743","113.5183981","12082019","09:51:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","1.05","-22.83417","113.51601","12082019","09:58:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","1.06","-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","2.02","-22.83153691","113.5625852","12082019","11:47:00","Ningaloo Marine Park",NA,"2","?","Brooke Gibbons","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","2.03","-22.82900766","113.5659111","12082019","11:57:00","Ningaloo Marine Park",NA,"2","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","2.04","-22.82440903","113.5815904","12082019","12:05:00","Ningaloo Marine Park",NA,"2","?","Charlote Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","2.05","-22.82256957","113.5770767","12082019","12:12:00","Ningaloo Marine Park",NA,"2","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","2.06","-22.82164985","113.5716127","12082019","12:18:00","Ningaloo Marine Park",NA,"2","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","2.07","-22.8191206","113.5640106","12082019","12:24:00","Ningaloo Marine Park",NA,"2","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","3.01","-22.81314238","113.5207738","12082019","14:12:00","Ningaloo Marine Park",NA,"3","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","3.02","-22.81015327","113.5262378","12082019","14:07:00","Ningaloo Marine Park",NA,"3","?","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","3.03","-22.80693423","113.5338398","12082019","14:00:00","Ningaloo Marine Park",NA,"3","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","3.04","-22.80608","113.51938","12082019","14:17:00","Ningaloo Marine Park",NA,"3","?","Brooke Gibbons","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","3.05","-22.80532471","113.51626","12082019","14:21:00","Ningaloo Marine Park",NA,"3","?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","3.06","-22.80463491","113.5105585","12082019","14:25:00","Ningaloo Marine Park",NA,"3","?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","4.01","-22.80504","113.49708","13082019","08:05:00","Ningaloo Marine Park",NA,"4","?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","4.02","-22.79001","113.51077","13082019","08:15:00","Ningaloo Marine Park",NA,"4","?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","4.03","-22.78991929","113.5005807","13082019","08:24:00","Ningaloo Marine Park",NA,"4","?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","4.08","-22.78601045","113.4984427","13082019","08:29:00","Ningaloo Marine Park",NA,"4","?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","4.11","-22.78371114","113.496067","13082019","08:33:00","Ningaloo Marine Park",NA,"4","?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","4.12","-22.78578052","113.4877522","13082019","08:56:00","Ningaloo Marine Park",NA,"4","?","Todd Bond","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","5.02","-22.78253","113.54762","13082019","15:37:00","Ningaloo Marine Park",NA,"5","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","5.03","-22.78303","113.56188","13082019","15:42:00","Ningaloo Marine Park",NA,"5","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","5.07","-22.7727833","113.57245","13082019","15:49:00","Ningaloo Marine Park",NA,"5","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","5.08","-22.76807579","113.5716127","13082019","15:53:00","Ningaloo Marine Park",NA,"5","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","5.11","-22.76278737","113.5723254","13082019","16:05:00","Ningaloo Marine Park",NA,"5","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","5.13","-22.76082","113.58319","13082019","16:11:00","Ningaloo Marine Park",NA,"5","?","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","6.01","-22.77091","113.53596","13082019","13:41:00","Ningaloo Marine Park",NA,"6","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","6.02","-22.75818","113.55367","13082019","13:31:00","Ningaloo Marine Park",NA,"6","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","6.03","-22.75754","113.54189","13082019","13:25:00","Ningaloo Marine Park",NA,"6","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","6.04","-22.75175065","113.5402541","13082019","13:21:00","Ningaloo Marine Park",NA,"6","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","6.05","-22.7411738","113.5412044","13082019","13:15:00","Ningaloo Marine Park",NA,"6","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","6.12","-22.73059695","113.541917","13082019","13:11:00","Ningaloo Marine Park",NA,"6","?","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","7.01","-22.73427585","113.5509445","14082019","08:24:00","Ningaloo Marine Park",NA,"7","85","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","7.02","-22.7317466","113.5533202","14082019","08:21:00","Ningaloo Marine Park",NA,"7","84","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","7.03","-22.72507859","113.5554582","14082019","08:16:00","Ningaloo Marine Park",NA,"7","82","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","7.04","-22.72760784","113.5630603","14082019","08:13:00","Ningaloo Marine Park",NA,"7","75","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","7.05","-22.72875749","113.5732756","14082019","08:08:00","Ningaloo Marine Park",NA,"7","72","Brooke Gibbons","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","7.08","-22.73059695","113.5756513","14082019","08:03:00","Ningaloo Marine Park",NA,"7","72","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","8.01","-22.71266228","113.5497567","14082019","10:00:00","Ningaloo Marine Park",NA,"8","87","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","8.02","-22.70277523","113.5559334","14082019","10:06:00","Ningaloo Marine Park",NA,"8","76","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","8.05","-22.7017","113.57994","14082019","10:31:00","Ningaloo Marine Park",NA,"8","63","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","8.06","-22.69621","113.58157","14082019","10:27:00","Ningaloo Marine Park",NA,"8","61","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","8.07","-22.69542","113.57783","14082019","10:23:00","Ningaloo Marine Park",NA,"8","63","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","8.12","-22.69932625","113.547381","14082019","10:11:00","Ningaloo Marine Park",NA,"8","95","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","9.01","-22.70139564","113.5359779","13082019","11:16:00","Ningaloo Marine Park",NA,"9","?","Charlotte Aston","Yes","Yes"
