"campaignid","sample","broad.bryozoa.","broad.bryozoa.bryozoa.cnidaria.matrix.","broad.consolidated.rock.no.biota","broad.consolidated.rock.veneer","broad.crinoids.","broad.hydrocoral.branching.","broad.hydroids.","broad.invertebrate.complex.","broad.invertebrate.complex.complex.1.","broad.octocoral.black.branching.3d.","broad.octocoral.black.fan.2d.","broad.octocoral.black.organ.pipe.coral.","broad.octocoral.black.small.mixed.","broad.octocoral.black.unknown.","broad.octocoral.black.whip.","broad.sponges.crusts.","broad.sponges.erect.forms.","broad.sponges.hollow.forms.","broad.sponges.massive.forms.","broad.sponges.small.mixed.","broad.sponges.unknown.","broad.unconsolidated.pebble.gravel.biogenic.","broad.unconsolidated.pebble.gravel.gravel.2.10mm.","broad.unconsolidated.pebble.gravel.pebble.10.64mm.","broad.unconsolidated.sand.mud.coarse.sand.","broad.unconsolidated.sand.mud.fine.sand.","broad.unconsolidated.unknown.","broad.total.points.annotated"
"2019-08_Ningaloo_stereo-BRUVs","1.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19
"2019-08_Ningaloo_stereo-BRUVs","1.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","1.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","1.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","1.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
"2019-08_Ningaloo_stereo-BRUVs","1.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","10.01",0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,1,0,0,0,0,0,0,0,2,10,0,34
"2019-08_Ningaloo_stereo-BRUVs","10.02",0,0,0,0,0,1,0,0,0,3,7,0,0,0,1,0,0,0,1,0,0,0,0,0,19,0,0,32
"2019-08_Ningaloo_stereo-BRUVs","10.03",0,0,0,0,0,0,1,0,0,4,2,0,0,0,12,0,1,0,2,0,0,0,0,0,1,7,0,30
"2019-08_Ningaloo_stereo-BRUVs","10.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,6,0,0,0,0,0,0,14,0,25
"2019-08_Ningaloo_stereo-BRUVs","10.07",0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,4,0,1,0,0,0,0,0,0,11,0,22
"2019-08_Ningaloo_stereo-BRUVs","10.08",0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,22
"2019-08_Ningaloo_stereo-BRUVs","10.09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,19,0,21
"2019-08_Ningaloo_stereo-BRUVs","10.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19
"2019-08_Ningaloo_stereo-BRUVs","10.12",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,0,20
"2019-08_Ningaloo_stereo-BRUVs","10.13",0,0,0,0,0,0,0,0,0,1,13,0,0,0,1,0,0,0,5,0,0,0,0,0,15,0,0,35
"2019-08_Ningaloo_stereo-BRUVs","10.14",0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,19,0,0,26
"2019-08_Ningaloo_stereo-BRUVs","10.15",0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,0,2,0,5,0,0,0,0,0,9,3,0,26
"2019-08_Ningaloo_stereo-BRUVs","11.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","11.02",0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,24
"2019-08_Ningaloo_stereo-BRUVs","11.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,20
"2019-08_Ningaloo_stereo-BRUVs","11.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","11.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22
"2019-08_Ningaloo_stereo-BRUVs","11.06",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,20,0,0,22
"2019-08_Ningaloo_stereo-BRUVs","12.02",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,19,0,0,27
"2019-08_Ningaloo_stereo-BRUVs","12.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
"2019-08_Ningaloo_stereo-BRUVs","12.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","12.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25
"2019-08_Ningaloo_stereo-BRUVs","12.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22
