"scientific","australian.common.name","iucn.ranking"
"Carcharhinidae Carcharhinus albimarginatus","Silvertip shark","Vulnerable"
"Carcharhinidae Carcharhinus limbatus","Common blacktip shark","Near Threatened"
"Carcharhinidae Carcharhinus plumbeus","Sandbar shark","Vulnerable"
"Carcharhinidae Galeocerdo cuvier","Tiger shark","Near Threatened"
"Carcharhinidae Triaenodon obesus","Whitetip reef shark","Near Threatened"
"Nemipteridae Nemipterus virgatus","Golden threadfin bream","Vulnerable"
"Rhinidae Rhynchobatus australiae","Whitespotted guitarfish","Critically Endangered"
"Scombridae Scomberomorus commerson","Spanish mackerel","Near Threatened"
"Serranidae Epinephelus coioides","Goldspotted rockcod","Near Threatened"
"Sphyrnidae Sphyrna lewini","Scalloped hammerhead","Endangered"
"Sphyrnidae Sphyrna mokarran","Great hammerhead","Endangered"
"Stegostomatidae Stegostoma fasciatum","Zebra shark","Endangered"
