"","lon","lat","method","dropcode","selected"
"1",113.546064094372,-22.7228470386525,"BRUV","B1","MBH"
"2",113.56175687507,-22.6954688884689,"BRUV","B2","MBH"
"3",113.551402593096,-22.7378376930208,"BRUV","B3","MBH"
"4",113.555365627726,-22.7337571361379,"BRUV","B4","MBH"
"5",113.550618032967,-22.7217813924174,"BRUV","B5","MBH"
"6",113.553059917581,-22.7458456032922,"BRUV","B6","MBH"
"7",113.538085345677,-22.7571430106385,"BRUV","B7","MBH"
"8",113.553782993474,-22.7297652474618,"BRUV","B8","MBH"
"9",113.557196392018,-22.693510697921,"BRUV","B9","MBH"
"10",113.541955108129,-22.7269296879536,"BRUV","B10","MBH"
"11",113.548027196216,-22.7263815897424,"BRUV","B11","MBH"
"12",113.547453223446,-22.7505391496575,"BRUV","B12","MBH"
"13",113.560480618566,-22.6870035509422,"BRUV","B13","MBH"
"14",113.555946330662,-22.6890620947005,"BRUV","B14","MBH"
"15",113.559122364307,-22.6950596935624,"BRUV","B15","MBH"
"16",113.539677440601,-22.7405974123366,"BRUV","B16","MBH"
"17",113.553155499232,-22.7012034475516,"BRUV","B17","MBH"
"18",113.549237379116,-22.7102934214932,"BRUV","B18","MBH"
"19",113.564976955739,-22.682914330693,"BRUV","B19","MBH"
"20",113.556300696699,-22.721239213795,"BRUV","B20","MBH"
"21",113.562840899912,-22.6909829554116,"BRUV","B21","MBH"
"22",113.553012684974,-22.7092401532827,"BRUV","B22","MBH"
"23",113.541329476679,-22.7351997840175,"BRUV","B23","MBH"
"24",113.551129880743,-22.7441161074534,"BRUV","B24","MBH"
"25",113.546365669415,-22.7049678434353,"BRUV","B25","MBH"
"26",113.548430162775,-22.7612210509754,"BRUV","B26","MBH"
"27",113.545716728305,-22.7251094391332,"BRUV","B27","MBH"
"28",113.561408952676,-22.697686176459,"BRUV","B28","MBH"
"29",113.555315744328,-22.6917804025376,"BRUV","B29","MBH"
"30",113.558641121518,-22.7058100237519,"BRUV","B30","MBH"
"31",113.539194888087,-22.751347782257,"BRUV","B31","MBH"
"32",113.554939566424,-22.7239240711318,"BRUV","B32","MBH"
"33",113.548755433435,-22.7210437791292,"BRUV","B33","MBH"
"34",113.564495273187,-22.6936195236934,"BRUV","B34","MBH"
"35",113.550916787563,-22.6985309387496,"BRUV","B35","MBH"
"36",113.547445696035,-22.7317621956379,"BRUV","B36","MBH"
"37",113.55054687266,-22.746788510356,"BRUV","B37","MBH"
"38",113.557613960684,-22.6924207294799,"BRUV","B38","MBH"
"39",113.553912440394,-22.710534759681,"BRUV","B39","MBH"
"40",113.544510538813,-22.7519401983871,"BRUV","B40","MBH"
"41",113.5479263352,-22.7156856637147,"BRUV","B41","MBH"
"42",113.554635669585,-22.6944543622491,"BRUV","B42","MBH"
"43",113.558895750931,-22.7325721972119,"BRUV","B43","MBH"
"44",113.54900931911,-22.7478512198013,"BRUV","B44","MBH"
"45",113.546597251657,-22.7594899637003,"BRUV","B45","MBH"
"46",113.559576826724,-22.6959551632776,"BRUV","B46","MBH"
"47",113.558962119021,-22.6995827363038,"BRUV","B47","Preferential"
"48",113.545426492058,-22.7432898287293,"BRUV","B48","Preferential"
"49",113.538829461943,-22.7510316225044,"BRUV","B49","Preferential"
"50",113.541909184567,-22.7374792799043,"BRUV","B50","Preferential"
"51",113.550422243179,-22.7343184160351,"BRUV","B51","Preferential"
"52",113.552682120397,-22.7172524594921,"BRUV","B52","Preferential"
"53",113.56100051337,-22.690148801059,"BRUV","B53","Preferential"
"54",113.56352242639,-22.6838711986542,"BRUV","B54","Preferential"
"55",113.565387550363,-22.6777118048937,"BRUV","B55","Preferential"
"56",113.566516966631,-22.6742869148977,"BRUV","B56","Preferential"
"57",113.559350736872,-22.6961840400256,"BRUV","B57","Preferential"
"58",113.544234219496,-22.7309590244257,"BRUV","B58","Preferential"
"59",113.534767355657,-22.7634034262372,"BRUV","B59","Preferential"
"60",113.539146485145,-22.7653974323617,"BRUV","B60","Preferential"
"61",113.561106427168,-22.6751285189726,"BRUV","B61","Preferential"
"62",113.550166668564,-22.7053296919438,"BRUV","B62","Preferential"
"63",113.529262227719,-22.7562277251968,"BRUV","B63","Preferential"
"64",113.530231992071,-22.7531945849548,"BRUV","B64","Preferential"
