"","method","dropcode","selected","lon","lat"
"1","BRUV","B19","MBH",113.567027068,-22.6846228569385
"2","BRUV","B13","MBH",113.560480618566,-22.6870035509422
"3","BRUV","B14","MBH",113.556805328117,-22.6875894902679
"4","BRUV","B21","MBH",113.565301633768,-22.6897181114895
"5","BRUV","B29","MBH",113.556086192871,-22.690860726565
"6","BRUV","B38","MBH",113.563846841443,-22.6867637559159
"7","BRUV","B9","MBH",113.557196392018,-22.693510697921
"8","BRUV","B34","MBH",113.564740149826,-22.6927925362883
"9","BRUV","B42","MBH",113.553833043468,-22.6951652733509
"10","BRUV","B15","MBH",113.555807622248,-22.697589070537
"11","BRUV","B2","MBH",113.562539556778,-22.6955550757718
"12","BRUV","B46","MBH",113.56050264393,-22.6933049614723
"13","BRUV","B28","MBH",113.562319413717,-22.6986420397134
"14","BRUV","B35","MBH",113.550916787563,-22.6985309387496
"15","BRUV","B17","MBH",113.553155499232,-22.7012034475516
"16","BRUV","B25","MBH",113.546365669415,-22.7049678434353
"17","BRUV","B30","MBH",113.558641121518,-22.7058100237519
"18","BRUV","B22","MBH",113.554969083225,-22.7072364190743
"19","BRUV","B18","MBH",113.549237379116,-22.7102934214932
"20","BRUV","B39","MBH",113.553912440394,-22.710534759681
"21","BRUV","B41","MBH",113.5479263352,-22.7156856637147
"22","BRUV","B33","MBH",113.549107387159,-22.7189361122403
"23","BRUV","B20","MBH",113.556300696699,-22.721239213795
"24","BRUV","B5","MBH",113.550618032967,-22.7217813924174
"25","BRUV","B1","MBH",113.545073678138,-22.7220974077289
"26","BRUV","B32","MBH",113.554939566424,-22.7239240711318
"27","BRUV","B27","MBH",113.545716728305,-22.7251094391332
"28","BRUV","B11","MBH",113.549610215456,-22.7273520721253
"29","BRUV","B10","MBH",113.541955108129,-22.7269296879536
"30","BRUV","B8","MBH",113.553782993474,-22.7297652474618
"31","BRUV","B36","MBH",113.547445696035,-22.7317621956379
"32","BRUV","B43","MBH",113.558895750931,-22.7325721972119
"33","BRUV","B4","MBH",113.555365627726,-22.7337571361379
"34","BRUV","B23","MBH",113.542179382329,-22.7341085527079
"35","BRUV","B3","MBH",113.551402593096,-22.7378376930208
"36","BRUV","B16","MBH",113.539677440601,-22.7405974123366
"37","BRUV","B24","MBH",113.550536459121,-22.7424388061071
"38","BRUV","B6","MBH",113.553059917581,-22.7458456032922
"39","BRUV","B37","MBH",113.544513442392,-22.7473514968411
"40","BRUV","B44","MBH",113.54900931911,-22.7478512198013
"41","BRUV","B12","MBH",113.547453223446,-22.7505391496575
"42","BRUV","B31","MBH",113.542339494766,-22.7541553951111
"43","BRUV","B40","MBH",113.544510538813,-22.7519401983871
"44","BRUV","B7","MBH",113.538085345677,-22.7571430106385
"45","BRUV","B45","MBH",113.543252991869,-22.7601456933414
"46","BRUV","B26","MBH",113.548430162775,-22.7612210509754
"47","BRUV","B47","Preferential",113.558962119021,-22.6995827363038
"48","BRUV","B48","Preferential",113.559350736872,-22.6961840400256
"49","BRUV","B49","Preferential",113.544234219496,-22.7309590244257
"50","BRUV","B50","Preferential",113.552682120397,-22.7172524594921
"51","BRUV","B51","Preferential",113.56100051337,-22.690148801059
"52","BRUV","B52","Preferential",113.534767355657,-22.7634034262372
"53","BRUV","B53","Preferential",113.56352242639,-22.6838711986542
"54","BRUV","B54","Preferential",113.539146485145,-22.7653974323617
"55","BRUV","B55","Preferential",113.529262227719,-22.7562277251968
"56","BRUV","B56","Preferential",113.530231992071,-22.7531945849548
"57","BRUV","B57","Preferential",113.561106427168,-22.6751285189726
"58","BRUV","B58","Preferential",113.550166668564,-22.7053296919438
"59","BRUV","B59","Preferential",113.545426492058,-22.7432898287293
"60","BRUV","B60","Preferential",113.538829461943,-22.7510316225044
"61","BRUV","B61","Preferential",113.565387550363,-22.6777118048937
"62","BRUV","B62","Preferential",113.541909184567,-22.7374792799043
"63","BRUV","B63","Preferential",113.566516966631,-22.6742869148977
"64","BRUV","B64","Preferential",113.550422243179,-22.7343184160351
