"","lon","lat","dropcode","selected"
"1",113.739554341538,-22.3261303133,"N1","MBH"
"2",113.735630353451,-22.3338694337301,"N2","MBH"
"3",113.728523316468,-22.342609984537,"N3","MBH"
"4",113.753204507524,-22.3048214312706,"N4","MBH"
"5",113.740762321489,-22.3184370917176,"N5","MBH"
"6",113.725732592226,-22.3388205725313,"N6","MBH"
"7",113.732982169946,-22.3373894792371,"N7","MBH"
"8",113.720644012837,-22.3491065493128,"N8","MBH"
"9",113.742575901724,-22.309469866725,"N9","MBH"
"10",113.741006552059,-22.3210056012692,"N10","MBH"
"11",113.74924869819,-22.3034442822192,"N11","MBH"
"12",113.719394527839,-22.3547242236981,"N12","MBH"
"13",113.757368635421,-22.2995151488613,"N13","MBH"
"14",113.739571168422,-22.3170580784828,"N14","MBH"
"15",113.727405822688,-22.3450209329744,"N15","MBH"
"16",113.734919063611,-22.3247643445372,"N16","MBH"
"17",113.747150410565,-22.3003204748463,"N17","MBH"
"18",113.749977909609,-22.3060045450655,"N18","MBH"
"19",113.732271885827,-22.3283294858239,"N19","MBH"
"20",113.73753528952,-22.3196199979653,"N20","MBH"
"21",113.72012358479,-22.3572846347776,"N21","MBH"
"22",113.744297848245,-22.3156692119318,"N22","MBH"
"23",113.726776845316,-22.3476041849704,"N23","MBH"
"24",113.72425899979,-22.357846945304,"N24","MBH"
"25",113.748573352512,-22.3150661070668,"N25","PREF"
"26",113.744614363544,-22.3212152572876,"N26","PREF"
"27",113.733608797327,-22.3401546757146,"N27","PREF"
"28",113.718333950412,-22.3368763372223,"N28","PREF"
"29",113.720971283567,-22.3313445469559,"N29","PREF"
"30",113.736933072803,-22.3328493547465,"N30","PREF"
"31",113.734208339534,-22.3062661638607,"N31","PREF"
"32",113.74828475421,-22.3079602502507,"N32","PREF"
"33",113.735425012359,-22.329979637908,"N33","PREF"
"34",113.722152457806,-22.3532978797229,"N34","PREF"
"35",113.73267428812,-22.3421639334702,"N35","PREF"
"36",113.735235821608,-22.3365599188252,"N36","PREF"
"37",113.731840830086,-22.3452626034494,"N37","PREF"
"38",113.737467586008,-22.3271300355118,"N38","PREF"
"39",113.740546197706,-22.3191067208042,"N39","PREF"
"40",113.742845943544,-22.3099922618787,"N40","PREF"
"41",113.747081437771,-22.3012662082046,"N41","PREF"
"42",113.717003754238,-22.3354757680801,"N42","PREF"
